organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	ABBE_BERN	SILG	4	10	28.7666666667	30.0944444444	43138	0.955879638176
mitochondria	ABBE_BERN	SILR	4	6	30	30.25	43144	0.99173553719
mitochondria	ABBE_BERN	STI	4	16	28.719047619	29.7041666667	43145	0.966835661183
mitochondria	ABBE_BERN	TIL	4	8	28.4047619048	30.0535714286	43145	0.94513765102
mitochondria	ABBE_BERN	TULP	4	17	27.1617647059	27.7794117647	43145	0.977766013764
mitochondria	ABMU_HOR	BAI	6	10	19.4	20.9	43148	0.928229665072
mitochondria	ABMU_HOR	COM	6	9	25.3333333333	26.7222222222	43148	0.948024948025
mitochondria	ABMU_HOR	CROB	6	10	19.5925925926	21.1925925926	43148	0.924501922405
mitochondria	ABMU_HOR	CROS	6	10	18.4222222222	21.1	43148	0.873091100579
mitochondria	ABMU_HOR	CY_ALA	6	3	19.3333333333	20.5	43144	0.943089430894
mitochondria	ABMU_HOR	CY_BAL	6	2	28.3333333333	29.5	42603	0.960451977401
mitochondria	ABMU_HOR	CY_BGL	6	2	28.3333333333	30.5	43131	0.928961748634
mitochondria	ABMU_HOR	CY_BOU	6	5	16.3333333333	17.5	43144	0.933333333333
mitochondria	ABMU_HOR	CY_CAS	6	5	13.9333333333	22.5	43144	0.619259259259
mitochondria	ABMU_HOR	CY_HICN	6	5	40.1333333333	42.4	43145	0.946540880503
mitochondria	ABMU_HOR	CY_HICS	6	4	16.3333333333	17.5	43143	0.933333333333
mitochondria	ABMU_HOR	CY_HUN	6	4	35	36.1666666667	43135	0.967741935484
mitochondria	ABMU_HOR	CY_SIE	6	4	25.8333333333	37	43148	0.698198198198
mitochondria	ABMU_HOR	CY_WOO	6	5	16.9333333333	18.3	43138	0.925318761384
mitochondria	ABMU_HOR	DAN	6	5	24.3333333333	25.5	42961	0.954248366013
mitochondria	ABMU_HOR	DOV	6	7	19.3333333333	20.5	43148	0.943089430894
mitochondria	ABMU_HOR	DUD	6	8	18.0416666667	19.5833333333	43148	0.921276595745
mitochondria	ABMU_HOR	KIRN	6	9	19.3333333333	20.5	43148	0.943089430894
mitochondria	ABMU_HOR	KIRT	6	10	19.3333333333	20.5	43148	0.943089430894
mitochondria	ABMU_HOR	MALV	6	10	20.3333333333	21.5	43148	0.945736434109
mitochondria	ABMU_HOR	OCO	6	10	36.3666666667	38.6111111111	43139	0.941870503597
mitochondria	ABMU_HOR	QUI1	6	8	16.4404761905	17.875	43145	0.919746919747
mitochondria	ABMU_HOR	QUI2	6	10	21.3333333333	22.5	43016	0.948148148148
mitochondria	ABMU_HOR	QUIN	6	10	21.3333333333	22.5	43019	0.948148148148
mitochondria	ABMU_HOR	RIC	6	10	18.9333333333	20.3	43148	0.932676518883
mitochondria	ABMU_HOR	RSV	6	9	20.4166666667	21.9444444444	43148	0.930379746835
mitochondria	ABMU_HOR	SILG	6	10	20.1	22.3444444444	43141	0.899552461462
mitochondria	ABMU_HOR	SILR	6	6	23.3333333333	24.5	43147	0.952380952381
mitochondria	ABMU_HOR	STI	6	16	19.7857142857	21.6875	43148	0.912309592425
mitochondria	ABMU_HOR	TIL	6	8	19.7380952381	22.3035714286	43148	0.884974646384
mitochondria	ABMU_HOR	TULP	6	17	18.4950980392	20.0294117647	43148	0.923396965247
mitochondria	BAI	COM	10	9	10.0666666667	10.6222222222	43163	0.94769874477
mitochondria	BAI	CROB	10	10	8.4	9.16666666667	43163	0.916363636364
mitochondria	BAI	CROS	10	10	6.55555555556	8.4	43163	0.780423280423
mitochondria	BAI	CY_ALA	10	3	8.06666666667	8.4	43151	0.960317460317
mitochondria	BAI	CY_BAL	10	2	28.0666666667	28.4	42616	0.988262910798
mitochondria	BAI	CY_BGL	10	2	27.0666666667	28.9	43144	0.936562860438
mitochondria	BAI	CY_BOU	10	5	5.06666666667	5.4	43157	0.938271604938
mitochondria	BAI	CY_CAS	10	5	6.66666666667	14.4	43157	0.462962962963
mitochondria	BAI	CY_HICN	10	5	40.8666666667	42.3	43157	0.966115051221
mitochondria	BAI	CY_HICS	10	4	5.06666666667	5.4	43157	0.938271604938
mitochondria	BAI	CY_HUN	10	4	34.0666666667	34.4	43149	0.990310077519
mitochondria	BAI	CY_SIE	10	4	24.0666666667	34.65	43162	0.694564694565
mitochondria	BAI	CY_WOO	10	5	5.66666666667	6.2	43151	0.913978494624
mitochondria	BAI	DAN	10	5	11.0666666667	11.4	42976	0.970760233918
mitochondria	BAI	DOV	10	7	6.06666666667	6.4	43163	0.947916666667
mitochondria	BAI	DUD	10	8	5.06666666667	5.775	43163	0.877344877345
mitochondria	BAI	KIRN	10	9	6.06666666667	6.4	43163	0.947916666667
mitochondria	BAI	KIRT	10	10	6.06666666667	6.4	43163	0.947916666667
mitochondria	BAI	MALV	10	10	7.06666666667	7.4	43163	0.954954954955
mitochondria	BAI	OCO	10	10	33.4333333333	34.8444444444	43153	0.95950255102
mitochondria	BAI	QUI1	10	8	5.17380952381	5.775	43159	0.895897753041
mitochondria	BAI	QUI2	10	10	10.0666666667	10.4	43030	0.967948717949
mitochondria	BAI	QUIN	10	10	10.0666666667	10.4	43034	0.967948717949
mitochondria	BAI	RIC	10	10	6.06666666667	6.6	43163	0.919191919192
mitochondria	BAI	RSV	10	9	8.48333333333	9.17777777778	43163	0.924334140436
mitochondria	BAI	SILG	10	10	6.83333333333	8.24444444444	43156	0.82884097035
mitochondria	BAI	SILR	10	6	10.0666666667	10.4	43162	0.967948717949
mitochondria	BAI	STI	10	16	8.78571428571	9.85416666667	43163	0.891573542736
mitochondria	BAI	TIL	10	8	8.47142857143	10.2035714286	43163	0.830241512076
mitochondria	BAI	TULP	10	17	4.9931372549	5.69411764706	43163	0.876893939394
mitochondria	COM	CROB	9	10	10.3333333333	10.9888888889	43164	0.940343781598
mitochondria	COM	CROS	9	10	8.48888888889	10.2222222222	43164	0.830434782609
mitochondria	COM	CY_ALA	9	3	14	14.2222222222	43151	0.984375
mitochondria	COM	CY_BAL	9	2	30	30.2222222222	42616	0.992647058824
mitochondria	COM	CY_BGL	9	2	31	32.7222222222	43144	0.947368421053
mitochondria	COM	CY_BOU	9	5	11	11.2222222222	43157	0.980198019802
mitochondria	COM	CY_CAS	9	5	12.2	19.8222222222	43157	0.615470852018
mitochondria	COM	CY_HICN	9	5	41.8	43.1222222222	43157	0.969337799536
mitochondria	COM	CY_HICS	9	4	11	11.2222222222	43157	0.980198019802
mitochondria	COM	CY_HUN	9	4	38	38.2222222222	43149	0.994186046512
mitochondria	COM	CY_SIE	9	4	26	36.4722222222	43162	0.712871287129
mitochondria	COM	CY_WOO	9	5	11.6	12.0222222222	43151	0.964879852126
mitochondria	COM	DAN	9	5	8.77777777778	9	42977	0.975308641975
mitochondria	COM	DOV	9	7	11.7777777778	12	43163	0.981481481481
mitochondria	COM	DUD	9	8	7	7.59722222222	43164	0.921389396709
mitochondria	COM	KIRN	9	9	8	8.22222222222	43164	0.972972972973
mitochondria	COM	KIRT	9	10	8	8.22222222222	43164	0.972972972973
mitochondria	COM	MALV	9	10	9	9.22222222222	43164	0.975903614458
mitochondria	COM	OCO	9	10	37.3666666667	38.6666666667	43153	0.966379310345
mitochondria	COM	QUI1	9	8	11.1071428571	11.5972222222	43159	0.957741659538
mitochondria	COM	QUI2	9	10	16	16.2222222222	43030	0.986301369863
mitochondria	COM	QUIN	9	10	16	16.2222222222	43034	0.986301369863
mitochondria	COM	RIC	9	10	8	8.42222222222	43164	0.949868073879
mitochondria	COM	RSV	9	9	14.4166666667	15	43163	0.961111111111
mitochondria	COM	SILG	9	10	12.5444444444	13.8444444444	43156	0.906099518459
mitochondria	COM	SILR	9	6	8.77777777778	9	43163	0.975308641975
mitochondria	COM	STI	9	16	14.719047619	15.6763888889	43163	0.93893100786
mitochondria	COM	TIL	9	8	14.4047619048	16.0257936508	43163	0.898848582394
mitochondria	COM	TULP	9	17	6.92647058824	7.51633986928	43164	0.92152173913
mitochondria	CROB	CROS	10	10	1.28888888889	3.23333333333	43164	0.398625429553
mitochondria	CROB	CY_ALA	10	3	10.3333333333	10.7666666667	43151	0.959752321981
mitochondria	CROB	CY_BAL	10	2	30.3333333333	30.7666666667	42616	0.985915492958
mitochondria	CROB	CY_BGL	10	2	29.3333333333	31.2666666667	43144	0.938166311301
mitochondria	CROB	CY_BOU	10	5	7.33333333333	7.76666666667	43157	0.944206008584
mitochondria	CROB	CY_CAS	10	5	8.93333333333	16.7666666667	43157	0.532803180915
mitochondria	CROB	CY_HICN	10	5	43.1333333333	44.6666666667	43157	0.965671641791
mitochondria	CROB	CY_HICS	10	4	7.33333333333	7.76666666667	43157	0.944206008584
mitochondria	CROB	CY_HUN	10	4	30.7777777778	31.2111111111	43149	0.986116055536
mitochondria	CROB	CY_SIE	10	4	26.3333333333	37.0166666667	43162	0.711391265196
mitochondria	CROB	CY_WOO	10	5	7.93333333333	8.56666666667	43151	0.926070038911
mitochondria	CROB	DAN	10	5	9.33333333333	9.76666666667	42977	0.955631399317
mitochondria	CROB	DOV	10	7	8.33333333333	8.76666666667	43163	0.950570342205
mitochondria	CROB	DUD	10	8	2.63888888889	3.44722222222	43164	0.765511684126
mitochondria	CROB	KIRN	10	9	2.33333333333	2.76666666667	43164	0.843373493976
mitochondria	CROB	KIRT	10	10	2.33333333333	2.76666666667	43164	0.843373493976
mitochondria	CROB	MALV	10	10	3.13333333333	3.56666666667	43164	0.878504672897
mitochondria	CROB	OCO	10	10	32.1444444444	33.6555555556	43153	0.955100693298
mitochondria	CROB	QUI1	10	8	7.44047619048	8.14166666667	43159	0.913876297704
mitochondria	CROB	QUI2	10	10	12.3333333333	12.7666666667	43030	0.966057441253
mitochondria	CROB	QUIN	10	10	12.3333333333	12.7666666667	43034	0.966057441253
mitochondria	CROB	RIC	10	10	2.33333333333	2.96666666667	43164	0.786516853933
mitochondria	CROB	RSV	10	9	11.4166666667	12.2111111111	43163	0.934940855323
mitochondria	CROB	SILG	10	10	9.1	10.6111111111	43156	0.857591623037
mitochondria	CROB	SILR	10	6	8.33333333333	8.76666666667	43163	0.950570342205
mitochondria	CROB	STI	10	16	11.0523809524	12.2208333333	43163	0.904388485705
