sample_id	input_reads	input_bases	input_q20_rate	input_q30_rate	passing_reads	passing_bases	passing_q20_rate	passing_q30_rate	read_retention	low_quality_reads	too_many_n_reads	adapter_dimer_reads	too_short_reads	adapter_trimmed_reads	adapter_trimmed_bases	duplication_rate
COM_LP_270_Du-704	5444628	816694200	0.98027900	0.94628400	5320654	760343702	0.99193700	0.96827200	0.97723003	81116	620	14398	27840	1178480	37435051	0.06106280
COM_LP_272_Du-707	11372272	1705840800	0.98341300	0.95284500	11123496	1633147947	0.99204500	0.96868200	0.97812434	185486	1354	27630	34306	1259194	36030274	0.08254870
COM_LP_274_Du-709	9338326	1400748900	0.98686300	0.95932400	9191746	1352188640	0.99300500	0.97085100	0.98430340	106930	1062	18528	20060	995166	26395669	0.07996120
COM_LP_276_Du-711	12132946	1819941900	0.98158300	0.94944700	11893016	1695813225	0.99259500	0.97039500	0.98022492	146212	1440	34524	57754	3021986	88647663	0.06526990
COM_LP_277_Du-712	11772432	1765864800	0.98231000	0.95155400	11552868	1650758912	0.99269300	0.97071800	0.98134931	153290	1424	23376	41474	2852189	82503347	0.07033990
COM_LP_341_Du-713	10414162	1562124300	0.98662600	0.95905000	10226624	1505661207	0.99314700	0.97160200	0.98199202	102570	1402	48420	35146	1010921	30528374	0.09438670
COM_LP_342_Du-714	2734626	410193900	0.98778200	0.96091100	2697912	399216980	0.99296000	0.97067200	0.98657440	27156	324	2694	6540	227503	5600090	0.08653470
COM_LP_343_Du-715	12199288	1829893200	0.98487000	0.95551500	11927506	1746093656	0.99274300	0.97041300	0.97772149	158996	1490	58136	53160	1631860	45444895	0.07460850
CROB_LP_169_Du-381	1155960	173394000	0.97992500	0.94665500	1138442	158441310	0.99385100	0.97348300	0.98484550	7406	128	780	9204	351952	12405938	0.05339460
CROB_LP_170_Du-382	14415198	2162279700	0.98819700	0.96186400	14247500	2080292032	0.99390000	0.97321400	0.98836658	92842	1796	23272	49788	1931747	56094960	0.08511310
CROB_LP_172_Du-384	13172006	1975800900	0.97162200	0.92697000	12759960	1726941733	0.99285500	0.96985300	0.96871805	120140	1454	15436	275016	4720319	192216178	0.05137300
CROB_LP_173_Du-385	16548864	2482329600	0.98315600	0.95376400	16193164	2344837173	0.99385600	0.97306900	0.97850608	124716	1990	52928	176066	2348257	86276608	0.08514600
CROB_LP_174_Du-386	17929870	2689480500	0.98692300	0.95965300	17669242	2603314854	0.99361800	0.97254100	0.98546403	158420	2312	10076	89820	1405992	49552913	0.10741900
CROB_LP_175_Du-387	14446726	2167008900	0.98640800	0.95819200	14161212	2091000155	0.99307600	0.97112000	0.98023677	171746	1720	62960	49088	1258130	35073405	0.09531130
CROB_LP_176_Du-388	18762554	2814383100	0.98528300	0.95567700	18403048	2681227487	0.99375400	0.97284900	0.98083918	153674	2240	60742	142850	2357298	85049419	0.09865500
CROB_LP_177_Du-389	18794018	2819102700	0.98641500	0.95794100	18405372	2734654468	0.99303800	0.97038700	0.97932076	206542	2368	77456	102280	935947	30727317	0.12366600
CROB_LP_320_Du-395	15041572	2256235800	0.98989600	0.96519300	14870920	2197277029	0.99411300	0.97374500	0.98865464	101972	1982	35748	30950	1203069	33512579	0.08972790
CROB_LP_321_Du-396	11911534	1786730100	0.98911000	0.96392200	11770690	1734304146	0.99406700	0.97382900	0.98817583	82810	1380	25422	31232	1105238	32669140	0.09193070
CROS_LP_085_Du-181	15202936	2280440400	0.98569600	0.95293300	14835656	2194333157	0.99221100	0.96606000	0.97584151	184168	1630	44170	137312	1119556	32133605	0.11554200
CROS_LP_086_Du-182	17620724	2643108600	0.98400700	0.94729500	16978096	2527204871	0.99158100	0.96321700	0.96352999	250616	2000	71062	318950	727302	23152321	0.13532900
CROS_LP_087_Du-183	3928076	589211400	0.98221000	0.93978300	3738006	554361878	0.99049600	0.95836200	0.95161244	59198	410	4720	125742	205955	6445314	0.12165600
CROS_LP_088_Du-184	20754158	3113123700	0.98359400	0.94772500	20052312	2963775956	0.99183300	0.96495400	0.96618287	299254	2258	108826	291508	1571048	47691991	0.11964500
CROS_LP_089_Du-185	35878150	5381722500	0.98438200	0.94631200	34108392	5089312695	0.99163600	0.96339000	0.95067310	485074	4170	146354	1134160	1081672	33402520	0.14920700
CROS_LP_090_Du-186	24426464	3663969600	0.98582400	0.95260500	23648048	3512864819	0.99229000	0.96638300	0.96813227	291404	2708	66618	417686	1275049	37693290	0.13784800
CROS_LP_091_Du-187	9693142	1453971300	0.98379700	0.94540700	9284090	1384120532	0.99113300	0.96142500	0.95779985	149198	1082	28128	230644	321580	9581412	0.13259300
CROS_LP_092_Du-188	6955248	1043287200	0.98466000	0.94905800	6697040	995357375	0.99177900	0.96448800	0.96287580	92248	742	35684	129534	345042	10491547	0.14511900
CROS_LP_093_Du-189	13781916	2067287400	0.98653000	0.95446000	13342960	1975259602	0.99300500	0.96858900	0.96814986	138164	1644	131678	167470	945530	31402772	0.16899700
CROS_LP_094_Du-190	17624282	2643642300	0.98544500	0.95005600	17112844	2546451223	0.99143300	0.96289400	0.97098106	197690	1948	80858	230942	785557	24099354	0.13826400
CY_ALA_LP_298-Du-767	9650660	1447599000	0.98025200	0.94607000	9456942	1318383667	0.99334900	0.97200900	0.97992697	82208	1162	30274	80074	3042581	98969445	0.05056810
CY_ALA_LP_299-Du-768	9414864	1412229600	0.97640700	0.94040600	9212646	1285483606	0.99239600	0.96996100	0.97852141	122636	1162	8390	70030	2912284	97182665	0.05181320
CY_ALA_LP_357_Du-769	14558080	2183712000	0.98362000	0.95238400	14232240	2086907587	0.99206600	0.96822600	0.97761793	219630	1724	65340	39146	1903339	50873039	0.09069750
CY_BAL_LP_226_Du-602	4412330	661849500	0.98743000	0.96004700	4363308	638316037	0.99319800	0.97116800	0.98888977	38600	516	1798	8108	621408	15805849	0.06458630
CY_BAL_LP_227_Du-603	1937362	290604300	0.98307300	0.95103200	1902940	272638197	0.99305000	0.97067600	0.98223254	17948	218	2670	13586	352124	12306316	0.07022750
CY_BAL_LP_228_Du-604	1207354	181103100	0.97899600	0.94240900	1181294	169576764	0.99066900	0.96400300	0.97841561	18660	142	1610	5648	243510	7577960	0.07204850
CY_BGL_LP_210_Du-577	9588954	1438343100	0.98549200	0.95188500	9411058	1398742466	0.99106700	0.96256400	0.98144782	118900	1108	21408	36480	532041	13406930	0.08000870
CY_BGL_LP_212_Du-579	10274960	1541244000	0.98710800	0.95696700	10115398	1488990514	0.99262300	0.96803500	0.98447079	93852	1218	22848	41644	1033922	28160614	0.08367310
CY_BOU_LP_288_Du-737	1686668	253000200	0.98311400	0.95213200	1652014	241121426	0.99220900	0.96891800	0.97945417	22530	186	1634	10304	229482	6959116	0.06782010
CY_BOU_LP_290_Du-739	10041198	1506179700	0.98211100	0.94982800	9767306	1419094935	0.99232100	0.96917700	0.97272318	155320	1264	50564	66744	1551757	46950324	0.09035580
CY_BOU_LP_291_Du-740	4134672	620200800	0.98233800	0.95200100	4047550	589380549	0.99226800	0.96952900	0.97892892	63580	476	8966	14100	671061	18062868	0.07322810
CY_BOU_LP_292_Du-741	7762758	1164413700	0.98240700	0.95046100	7597960	1085471944	0.99291100	0.97096800	0.97877069	87800	934	28128	47936	1743137	53905931	0.06280860
CY_BOU_LP_354_Du-742	8982236	1347335400	0.98629300	0.95750100	8800850	1283902365	0.99348000	0.97208600	0.97980614	79666	1130	47804	52786	1132920	36656821	0.08527480
CY_CAS_LP_328_Du-610	14480270	2172040500	0.96238100	0.91325900	13876732	1806115943	0.99155100	0.96725700	0.95831998	224384	1538	81498	296118	7250529	271990852	0.04334630
CY_CAS_LP_329_Du-611	10895580	1634337000	0.97236300	0.92866000	10582256	1400534374	0.99297600	0.97087800	0.97124302	108866	1136	51596	151726	5063683	186341718	0.04519590
CY_CAS_LP_330_Du-607	3632716	544907400	0.95698500	0.89522400	3464036	419010599	0.99203300	0.96797500	0.95356642	35732	314	12948	119686	2188144	94273084	0.03017360
CY_CAS_LP_331_Du-608	5572386	835857900	0.95740400	0.90301000	5335892	682401078	0.99152700	0.96695700	0.95755965	73492	566	37406	125030	3019651	122087962	0.03480770
CY_CAS_LP_332_Du-609	11347820	1702173000	0.94457900	0.87280300	10571860	1212583687	0.99312300	0.97149100	0.93162035	105758	1010	85676	583516	8063968	374732741	0.02805460
CY_HICN_LP_236_Du-614	16547382	2482107300	0.98855800	0.96207600	16372186	2410353515	0.99337500	0.97145400	0.98941246	130388	1914	7828	35066	1693471	44785306	0.08557510
CY_HICN_LP_333_Du-612	5088212	763231800	0.96859800	0.92542700	4969890	647247814	0.99278200	0.97061300	0.97674586	48468	568	12862	56424	2755984	96407565	0.03247660
CY_HICN_LP_334_Du-613	8830840	1324626000	0.94707900	0.88022800	8369176	981371453	0.99253500	0.97009100	0.94772139	84924	764	69738	306238	6201589	279086486	0.02915560
CY_HICN_LP_335_Du-615	13044670	1956700500	0.95106300	0.89187100	12393724	1511365048	0.99251000	0.97058800	0.95009870	132926	1194	88168	428658	8364557	358159816	0.03409790
CY_HICN_LP_336_Du-616	12692168	1903825200	0.97634800	0.93722400	12361416	1683577434	0.99215400	0.96864100	0.97394046	154238	1432	72526	102556	5128028	164247273	0.04512700
CY_HICS_LP_293_Du-757	7049980	1057497000	0.97756600	0.94192100	6878614	959223727	0.99242800	0.96992400	0.97569270	91716	826	25062	53762	2222169	71972392	0.05528470
CY_HICS_LP_295_Du-759	593524	89028600	0.97035200	0.92965600	577866	78109284	0.99253400	0.97025500	0.97361859	6412	86	1046	8114	250620	8864502	0.03272990
CY_HICS_LP_297_Du-761	2011258	301688700	0.98173500	0.94873000	1973062	280977357	0.99271000	0.96958200	0.98100890	20350	228	2734	14884	479575	14922870	0.05218620
CY_HICS_LP_355_Du-762	11574280	1736142000	0.98061700	0.94605000	11182726	1594230500	0.99269800	0.96990100	0.96617034	143278	1340	164716	82220	2576061	84681995	0.08147620
CY_HICS_LP_356_Du-763	5375488	806323200	0.98505900	0.95547800	5294150	764575220	0.99352800	0.97225100	0.98486872	39202	636	6394	35106	951537	30660016	0.06804810
CY_HUN_LP_264_Du-683	1155872	173380800	0.98396900	0.95384600	1139202	163055642	0.99333300	0.97189800	0.98557799	9554	142	1514	5460	257929	7832956	0.05960870
CY_HUN_LP_265_Du-684	56700	8505000	0.97864300	0.94252500	55378	7736108	0.99306700	0.97148300	0.97668430	422	2	108	790	16631	591558	0.05372130
CY_HUN_LP_266_Du-685	1473426	221013900	0.98480100	0.95661800	1454884	209047802	0.99366100	0.97301700	0.98741572	11002	224	1532	5784	314097	9305658	0.05911390
CY_HUN_LP_267_Du-686	2331758	349763700	0.96055200	0.91087400	2241550	289645098	0.99325800	0.97219300	0.96131331	17056	206	3680	69266	1200086	49320929	0.03038820
CY_HUN_LP_268_Du-687	1371926	205788900	0.97261000	0.93159600	1333296	180078714	0.99371300	0.97343400	0.97184250	8902	148	2180	27400	542178	20660115	0.03667250
CY_RED_LP_202_Du-561	50396	7559400	0.97577200	0.92749700	46520	6851168	0.98949800	0.95768500	0.92308913	948	6	2406	516	5693	219547	0.09139610
CY_SIE_LP_188_Du-445	20165316	3024797400	0.98179300	0.94899700	19721262	2812678534	0.99400600	0.97362700	0.97797932	137856	2420	60806	242972	3981019	153613609	0.09391380
