sample_id	chloroplast_tip_order	mitochondria_tip_order	mitochondria_representative	identical_zero_length_tip_group
CY_HUN_LP_266_Du-685	19	15	CY_HUN_LP_266_Du-685	no
CY_HUN_LP_267_Du-686	17	16	CY_HUN_LP_267_Du-686	no
CY_HUN_LP_268_Du-687	18	17	CY_HUN_LP_268_Du-687	no
CY_SIE_LP_188_Du-445	35	34	CY_SIE_LP_188_Du-445	no
CY_SIE_LP_189_Du-446	38	33	CY_SIE_LP_189_Du-446	no
CY_SIE_LP_190_Du-447	37	35	CY_SIE_LP_190_Du-447	no
CY_SIE_LP_191_Du-448	261	254	CY_SIE_LP_191_Du-448	no
CY_WOO_LP_259_Du-664	264	249	CY_WOO_LP_259_Du-664	no
CY_WOO_LP_260_Du-665	265	250	CY_WOO_LP_260_Du-665	no
CY_WOO_LP_261_Du-667	268	240	CY_WOO_LP_261_Du-667	no
CY_WOO_LP_262_Du-668	266	251	CY_WOO_LP_262_Du-668	no
CY_WOO_LP_263_Du-669	267	252	CY_WOO_LP_263_Du-669	no
DAN_LP_043_Du-68	77	145	DAN_LP_043_Du-68	no
DAN_LP_044_Du-69	79	149	DAN_LP_044_Du-69	no
DAN_LP_045_Du-70	82	151	DAN_LP_045_Du-70	no
DAN_LP_046_Du-71	83	146	DAN_LP_046_Du-71	no
DAN_LP_047_Du-72	78	150	DAN_LP_047_Du-72	no
DOV_LP_078_Du-174	51	49	DOV_LP_078_Du-174	no
DOV_LP_079_Du-175	52	61	DOV_LP_079_Du-175	no
DOV_LP_080_Du-176	57	63	DOV_LP_080_Du-176	no
DOV_LP_081_Du-177	54	62	DOV_LP_081_Du-177	no
DOV_LP_082_Du-178	55	60	DOV_LP_082_Du-178	no
DOV_LP_083_Du-179	56	64	DOV_LP_080_Du-176	yes
DOV_LP_084_Du-180	53	65	DOV_LP_080_Du-176	yes
DU-173	178	184	DU-173	no
DU-229	46	47	DU-229	no
DU-247	158	158	DU-247	no
DU-254	161	171	DU-254	no
DU-270	199	205	DU-270	no
DU-297	169	162	DU-247	yes
DU-443	36	32	DU-443	no
DU-4A	101	91	CROS_LP_085_Du-181	yes
DU014LP012	262	256	DU014LP012	no
DU037LP013	263	257	DU037LP013	no
DU059LP015	204	210	DU059LP015	no
DU078LP011	81	147	DU078LP011	no
DU079LP010	80	148	DU079LP010	no
