sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
CY_BAL_LP_226_Du-602	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BAL	chloroplast	150274	4412330	903030	719.971286	108192965	150273	0.999993	150265	0.999940	150226	0.999681	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.depth.tsv
CY_BAL_LP_226_Du-602	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BAL	mitochondria	243359	4412330	84316	42.910059	10442549	233733	0.960445	232508	0.955412	232320	0.954639	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.depth.tsv
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. bettinae	ABBE_BERN	chloroplast	150274	10549336	1481697	1080.535176	162376343	150274	1.000000	150262	0.999920	150255	0.999874	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.depth.tsv
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. bettinae	ABBE_BERN	mitochondria	243359	10549336	250441	116.973192	28466479	230050	0.945311	229060	0.941243	228938	0.940742	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.depth.tsv
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	COM	chloroplast	150274	11377416	1737148	1434.370377	215548574	150274	1.000000	150271	0.999980	150269	0.999967	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/COM_LP_269_Du-703.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/COM_LP_269_Du-703.depth.tsv
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	COM	mitochondria	243359	11377416	301850	159.001414	38694425	240316	0.987496	230906	0.948829	229888	0.944646	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/COM_LP_269_Du-703.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/COM_LP_269_Du-703.depth.tsv
CY_BGL_LP_210_Du-577	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BGL	chloroplast	150274	9588954	880116	673.826071	101258539	150267	0.999953	150254	0.999867	150218	0.999627	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.depth.tsv
CY_BGL_LP_210_Du-577	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BGL	mitochondria	243359	9588954	255175	132.676683	32288065	229605	0.943483	228889	0.940541	228820	0.940257	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.depth.tsv
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. murina	ABMU_HOR	chloroplast	150274	13666840	1297419	963.815025	144836339	150260	0.999907	150258	0.999894	150246	0.999814	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.depth.tsv
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. murina	ABMU_HOR	mitochondria	243359	13666840	338825	163.805526	39863549	243120	0.999018	243063	0.998784	243052	0.998738	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.depth.tsv
CROB_LP_169_Du-381	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROB	chloroplast	150274	1155960	191227	170.422588	25610084	150257	0.999887	150226	0.999681	150154	0.999201	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.depth.tsv
CROB_LP_169_Du-381	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROB	mitochondria	243359	1155960	20990	11.457181	2788208	242994	0.998500	222240	0.913219	134680	0.553421	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.depth.tsv
CY_BOU_LP_288_Du-737	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BOU	chloroplast	150274	1686668	229147	194.358106	29206970	150271	0.999980	150260	0.999907	150234	0.999734	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.depth.tsv
CY_BOU_LP_288_Du-737	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BOU	mitochondria	243359	1686668	23754	12.793930	3113518	229738	0.944029	215425	0.885215	149001	0.612268	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.depth.tsv
CROS_LP_085_Du-181	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROS	chloroplast	150274	15202936	1644307	1327.744653	199525500	150274	1.000000	150274	1.000000	150271	0.999980	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.depth.tsv
CROS_LP_085_Du-181	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROS	mitochondria	243359	15202936	388086	197.680090	48107229	243359	1.000000	243352	0.999971	243347	0.999951	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.depth.tsv
CY_CAS_LP_328_Du-610	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_CAS	chloroplast	150274	14480270	1689254	1178.420525	177085966	150271	0.999980	150263	0.999927	150247	0.999820	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.depth.tsv
CY_CAS_LP_328_Du-610	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_CAS	mitochondria	243359	14480270	183822	81.885527	19927580	230537	0.947312	229586	0.943405	229500	0.943051	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.depth.tsv
DAN_LP_043_Du-68	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	DAN	chloroplast	150274	2431018	314879	285.836252	42953757	150271	0.999980	150264	0.999933	150250	0.999840	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.depth.tsv
DAN_LP_043_Du-68	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	DAN	mitochondria	243359	2431018	35687	19.598749	4769532	243171	0.999227	241323	0.991634	220505	0.906089	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.depth.tsv
