organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	ABMU_HOR	CY_ALA	6	3	19.3333333333	20.5	43161	0.943089430894
mitochondria	ABMU_HOR	CY_BAL	6	3	30.3333333333	31.5	42858	0.962962962963
mitochondria	ABMU_HOR	CY_BGL	6	2	28.3333333333	30.5	43153	0.928961748634
mitochondria	ABMU_HOR	CY_BOU	6	5	16.3333333333	17.5	43166	0.933333333333
mitochondria	ABMU_HOR	CY_CAS	6	5	13.9333333333	22.5	43166	0.619259259259
mitochondria	ABMU_HOR	CY_HICN	6	5	40.1333333333	42.4	43167	0.946540880503
mitochondria	ABMU_HOR	CY_HICS	6	5	16.3333333333	17.5	43169	0.933333333333
mitochondria	ABMU_HOR	CY_HUN	6	4	35	36.1666666667	43158	0.967741935484
mitochondria	ABMU_HOR	CY_SIE	6	4	25.8333333333	37	43170	0.698198198198
mitochondria	ABMU_HOR	CY_WOO	6	5	16.9333333333	18.3	43164	0.925318761384
mitochondria	ABMU_HOR	DAN	6	5	24.3333333333	25.5	42983	0.954248366013
mitochondria	ABMU_HOR	DOV	6	7	19.3333333333	20.5	43170	0.943089430894
mitochondria	ABMU_HOR	DUD	6	8	18.0416666667	19.5833333333	43170	0.921276595745
mitochondria	ABMU_HOR	KIRN	6	9	19.3333333333	20.5	43170	0.943089430894
mitochondria	ABMU_HOR	KIRT	6	10	19.3333333333	20.5	43170	0.943089430894
mitochondria	ABMU_HOR	MALV	6	10	20.3333333333	21.5	43170	0.945736434109
mitochondria	ABMU_HOR	OCO	6	10	36.3111111111	38.5555555556	43161	0.941786743516
mitochondria	ABMU_HOR	QUI1	6	9	16.4166666667	17.8333333333	43167	0.920560747664
mitochondria	ABMU_HOR	QUI2	6	10	21.3333333333	22.5	43043	0.948148148148
mitochondria	ABMU_HOR	QUIN	6	10	21.3333333333	22.5	43028	0.948148148148
mitochondria	ABMU_HOR	RIC	6	10	18.9333333333	20.3	43170	0.932676518883
mitochondria	ABMU_HOR	RSV	6	9	20.4166666667	21.9444444444	43160	0.930379746835
mitochondria	ABMU_HOR	SILG	6	10	20.0666666667	22.3	43163	0.899850523169
mitochondria	ABMU_HOR	SILR	6	6	23.3333333333	24.5	43169	0.952380952381
mitochondria	ABMU_HOR	STI	6	16	19.5654761905	21.6160714286	43159	0.90513561889
mitochondria	ABMU_HOR	TIL	6	8	19.7261904762	22.25	43159	0.88657035848
mitochondria	ABMU_HOR	TULP	6	17	18.5102495544	20.1960784314	43170	0.916526919682
mitochondria	BAI	COM	10	9	10.0666666667	10.6222222222	43181	0.94769874477
mitochondria	BAI	CROB	10	10	8.42222222222	9.17777777778	43181	0.917675544794
mitochondria	BAI	CROS	10	10	6.55555555556	8.525	43181	0.768980123819
mitochondria	BAI	CY_ALA	10	3	8.06666666667	8.4	43167	0.960317460317
mitochondria	BAI	CY_BAL	10	3	30.0666666667	30.4	42867	0.989035087719
mitochondria	BAI	CY_BGL	10	2	27.0666666667	28.9	43162	0.936562860438
mitochondria	BAI	CY_BOU	10	5	5.06666666667	5.4	43172	0.938271604938
mitochondria	BAI	CY_CAS	10	5	6.66666666667	14.4	43172	0.462962962963
mitochondria	BAI	CY_HICN	10	5	40.8666666667	42.3	43172	0.966115051221
mitochondria	BAI	CY_HICS	10	5	5.06666666667	5.4	43176	0.938271604938
mitochondria	BAI	CY_HUN	10	4	34.0666666667	34.4	43168	0.990310077519
mitochondria	BAI	CY_SIE	10	4	24.0666666667	34.65	43177	0.694564694565
mitochondria	BAI	CY_WOO	10	5	5.66666666667	6.2	43170	0.913978494624
mitochondria	BAI	DAN	10	5	11.0666666667	11.4	42994	0.970760233918
mitochondria	BAI	DOV	10	7	6.06666666667	6.4	43181	0.947916666667
mitochondria	BAI	DUD	10	8	5.06666666667	5.775	43181	0.877344877345
mitochondria	BAI	KIRN	10	9	6.06666666667	6.4	43181	0.947916666667
mitochondria	BAI	KIRT	10	10	6.06666666667	6.4	43181	0.947916666667
mitochondria	BAI	MALV	10	10	7.06666666667	7.4	43181	0.954954954955
mitochondria	BAI	OCO	10	10	33.3777777778	34.7888888889	43171	0.959437879272
mitochondria	BAI	QUI1	10	9	5.15	5.73333333333	43174	0.898255813953
mitochondria	BAI	QUI2	10	10	10.0666666667	10.4	43053	0.967948717949
mitochondria	BAI	QUIN	10	10	10.0666666667	10.4	43039	0.967948717949
mitochondria	BAI	RIC	10	10	6.06666666667	6.6	43181	0.919191919192
mitochondria	BAI	RSV	10	9	8.48333333333	9.17777777778	43171	0.924334140436
mitochondria	BAI	SILG	10	10	6.8	8.2	43174	0.829268292683
mitochondria	BAI	SILR	10	6	10.0666666667	10.4	43180	0.967948717949
mitochondria	BAI	STI	10	16	8.67380952381	9.89107142857	43170	0.876933261118
mitochondria	BAI	TIL	10	8	8.45952380952	10.15	43170	0.833450621628
mitochondria	BAI	TULP	10	17	5.00828877005	5.86078431373	43181	0.85454241309
mitochondria	COM	CROB	9	10	10.3555555556	11	43182	0.941414141414
mitochondria	COM	CROS	9	10	8.48888888889	10.3472222222	43182	0.820402684564
mitochondria	COM	CY_ALA	9	3	14	14.2222222222	43167	0.984375
mitochondria	COM	CY_BAL	9	3	32	32.2222222222	42867	0.993103448276
mitochondria	COM	CY_BGL	9	2	31	32.7222222222	43162	0.947368421053
mitochondria	COM	CY_BOU	9	5	11	11.2222222222	43172	0.980198019802
mitochondria	COM	CY_CAS	9	5	12.2	19.8222222222	43172	0.615470852018
mitochondria	COM	CY_HICN	9	5	41.8	43.1222222222	43172	0.969337799536
mitochondria	COM	CY_HICS	9	5	11	11.2222222222	43176	0.980198019802
mitochondria	COM	CY_HUN	9	4	38	38.2222222222	43168	0.994186046512
mitochondria	COM	CY_SIE	9	4	26	36.4722222222	43177	0.712871287129
mitochondria	COM	CY_WOO	9	5	11.6	12.0222222222	43170	0.964879852126
mitochondria	COM	DAN	9	5	8.77777777778	9	42995	0.975308641975
mitochondria	COM	DOV	9	7	11.7777777778	12	43181	0.981481481481
mitochondria	COM	DUD	9	8	7	7.59722222222	43182	0.921389396709
mitochondria	COM	KIRN	9	9	8	8.22222222222	43182	0.972972972973
mitochondria	COM	KIRT	9	10	8	8.22222222222	43182	0.972972972973
mitochondria	COM	MALV	9	10	9	9.22222222222	43182	0.975903614458
mitochondria	COM	OCO	9	10	37.3111111111	38.6111111111	43171	0.966330935252
mitochondria	COM	QUI1	9	9	11.0833333333	11.5555555556	43174	0.959134615385
mitochondria	COM	QUI2	9	10	16	16.2222222222	43053	0.986301369863
mitochondria	COM	QUIN	9	10	16	16.2222222222	43039	0.986301369863
mitochondria	COM	RIC	9	10	8	8.42222222222	43182	0.949868073879
mitochondria	COM	RSV	9	9	14.4166666667	15	43171	0.961111111111
mitochondria	COM	SILG	9	10	12.5111111111	13.8	43174	0.906602254428
mitochondria	COM	SILR	9	6	8.77777777778	9	43181	0.975308641975
mitochondria	COM	STI	9	16	14.6071428571	15.7132936508	43170	0.929604141676
mitochondria	COM	TIL	9	8	14.3928571429	15.9722222222	43170	0.901118012422
mitochondria	COM	TULP	9	17	6.94162210339	7.68300653595	43182	0.903503344805
mitochondria	CROB	CROS	10	10	1.31111111111	3.36944444444	43182	0.38911788953
mitochondria	CROB	CY_ALA	10	3	10.3555555556	10.7777777778	43167	0.960824742268
mitochondria	CROB	CY_BAL	10	3	32.3555555556	32.7777777778	42867	0.987118644068
mitochondria	CROB	CY_BGL	10	2	29.3555555556	31.2777777778	43162	0.938543516874
mitochondria	CROB	CY_BOU	10	5	7.35555555556	7.77777777778	43172	0.945714285714
mitochondria	CROB	CY_CAS	10	5	8.95555555556	16.7777777778	43172	0.533774834437
mitochondria	CROB	CY_HICN	10	5	43.1555555556	44.6777777778	43172	0.965928873415
mitochondria	CROB	CY_HICS	10	5	7.35555555556	7.77777777778	43176	0.945714285714
mitochondria	CROB	CY_HUN	10	4	30.8	31.2222222222	43168	0.986476868327
mitochondria	CROB	CY_SIE	10	4	26.3555555556	37.0277777778	43177	0.711777944486
mitochondria	CROB	CY_WOO	10	5	7.95555555556	8.57777777778	43170	0.927461139896
mitochondria	CROB	DAN	10	5	9.35555555556	9.77777777778	42995	0.956818181818
mitochondria	CROB	DOV	10	7	8.35555555556	8.77777777778	43181	0.951898734177
mitochondria	CROB	DUD	10	8	2.66111111111	3.45833333333	43182	0.769477911647
mitochondria	CROB	KIRN	10	9	2.35555555556	2.77777777778	43182	0.848
mitochondria	CROB	KIRT	10	10	2.35555555556	2.77777777778	43182	0.848
mitochondria	CROB	MALV	10	10	3.15555555556	3.57777777778	43182	0.88198757764
mitochondria	CROB	OCO	10	10	32.1111111111	33.6111111111	43171	0.955371900826
mitochondria	CROB	QUI1	10	9	7.43888888889	8.11111111111	43174	0.917123287671
mitochondria	CROB	QUI2	10	10	12.3555555556	12.7777777778	43053	0.966956521739
mitochondria	CROB	QUIN	10	10	12.3555555556	12.7777777778	43039	0.966956521739
mitochondria	CROB	RIC	10	10	2.35555555556	2.97777777778	43182	0.791044776119
mitochondria	CROB	RSV	10	9	11.4388888889	12.2222222222	43171	0.935909090909
mitochondria	CROB	SILG	10	10	9.08888888889	10.5777777778	43174	0.859243697479
mitochondria	CROB	SILR	10	6	8.35555555556	8.77777777778	43181	0.951898734177
mitochondria	CROB	STI	10	16	10.9626984127	12.2688492063	43170	0.893539257702
mitochondria	CROB	TIL	10	8	10.7484126984	12.5277777778	43170	0.85796642382
mitochondria	CROB	TULP	10	17	3.53247177659	4.47385620915	43182	0.789580981473
mitochondria	CROS	CY_ALA	10	3	8.48888888889	10.125	43167	0.83840877915
mitochondria	CROS	CY_BAL	10	3	30.4888888889	32.125	42867	0.949070471249
mitochondria	CROS	CY_BGL	10	2	27.4888888889	30.625	43162	0.897596371882
mitochondria	CROS	CY_BOU	10	5	5.48888888889	7.125	43172	0.77037037037
mitochondria	CROS	CY_CAS	10	5	7.08888888889	16.125	43172	0.439621016365
mitochondria	CROS	CY_HICN	10	5	41.2888888889	44.025	43172	0.937850968515
mitochondria	CROS	CY_HICS	10	5	5.48888888889	7.125	43176	0.77037037037
mitochondria	CROS	CY_HUN	10	4	30.6888888889	32.325	43168	0.949385580476
mitochondria	CROS	CY_SIE	10	4	24.4888888889	36.375	43177	0.673234058801
mitochondria	CROS	CY_WOO	10	5	6.08888888889	7.925	43170	0.76831405538
mitochondria	CROS	DAN	10	5	7.48888888889	9.125	42995	0.820700152207
