organelle	track_id	sample_count	variant_records	raw_vcf_path	raw_vcf_index_path	log_path
cpDNA	cpdna_population_sites	278	2531	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/cpDNA.primary.raw.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/cpDNA.primary.raw.vcf.gz.tbi	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/cpDNA.primary.raw.bcftools.log
mtDNA	mtdna_high_confidence_unique	278	192	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/mtDNA.primary.raw.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/mtDNA.primary.raw.vcf.gz.tbi	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/mtDNA.primary.raw.bcftools.log
