sample_id	organelle	haplotype_id	species_group	popcode
STI_LP_038_Du-56	cpDNA	H137	D. setchellii	STI
STI_LP_039_Du-57	cpDNA	H134	D. setchellii	STI
STI_LP_040_Du-58	cpDNA	H133	D. setchellii	STI
STI_LP_041_Du-60	cpDNA	H134	D. setchellii	STI
STI_LP_042_Du-61	cpDNA	H133	D. setchellii	STI
TIL_LP_123_Du-263	cpDNA	H138	D. setchellii	TIL
TIL_LP_124_Du-264	cpDNA	H139	D. setchellii	TIL
TIL_LP_125_Du-265	cpDNA	H140	D. setchellii	TIL
TIL_LP_126_Du-266	cpDNA	H140	D. setchellii	TIL
TIL_LP_127_Du-267	cpDNA	H141	D. setchellii	TIL
TIL_LP_128_Du-268	cpDNA	H142	D. setchellii	TIL
TIL_LP_129_Du-269	cpDNA	H143	D. setchellii	TIL
TIL_LP_130_Du-271	cpDNA	H144	D. setchellii	TIL
TIL_LP_131_Du-272	cpDNA	H143	D. setchellii	TIL
TULP_LP_115_Du-242	cpDNA	H145	D. setchellii	TULP
TULP_LP_116_Du-243	cpDNA	H004	D. setchellii	TULP
TULP_LP_117_Du-244	cpDNA	H003	D. setchellii	TULP
TULP_LP_118_Du-245	cpDNA	H146	D. setchellii	TULP
TULP_LP_119_Du-246	cpDNA	H146	D. setchellii	TULP
TULP_LP_120_Du-248	cpDNA	H145	D. setchellii	TULP
TULP_LP_121_Du-249	cpDNA	H146	D. setchellii	TULP
TULP_LP_122_Du-250	cpDNA	H004	D. setchellii	TULP
TULP_LP_140_Du-302	cpDNA	H091	D. setchellii	TULP
TULP_LP_141_Du-303	cpDNA	H147	D. setchellii	TULP
TULP_LP_142_Du-304	cpDNA	H148	D. setchellii	TULP
TULP_LP_143_Du-305	cpDNA	H149	D. setchellii	TULP
TULP_LP_144_Du-306	cpDNA	H149	D. setchellii	TULP
TULP_LP_145_Du-307	cpDNA	H150	D. setchellii	TULP
TULP_LP_146_Du-308	cpDNA	H003	D. setchellii	TULP
TULP_LP_147_Du-309	cpDNA	H151	D. setchellii	TULP
TULP_LP_148_Du-310	cpDNA	H151	D. setchellii	TULP
