sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	122821078	1508805	898.015348	218540117	242893	0.998085	242881	0.998036	242870	0.997991	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-443.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-443.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	114738526	20893201	20489.394686	3079023297	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-4A.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-4A.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	114738526	2218534	1331.634906	324065339	243359	1.000000	243359	1.000000	243358	0.999996	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-4A.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-4A.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	80007888	9392608	8634.017468	1297468341	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU014LP012.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU014LP012.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	80007888	939016	537.615864	130833659	235934	0.969490	230410	0.946791	230182	0.945854	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU014LP012.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU014LP012.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	52892182	11973910	11546.613306	1735155768	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU037LP013.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU037LP013.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU037LP013.depth.tsv
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	52892182	600750	355.209160	86443346	231989	0.953279	230040	0.945270	229917	0.944765	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU037LP013.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU037LP013.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU037LP013.depth.tsv
DU059LP015	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	81365676	10359693	9083.958868	1365082835	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU059LP015.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU059LP015.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU059LP015.depth.tsv
DU059LP015	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	81365676	1699873	975.154332	237312583	243229	0.999466	243203	0.999359	243191	0.999310	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU059LP015.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU059LP015.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU059LP015.depth.tsv
DU078LP011	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	97284144	17339096	14578.908507	2190830897	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU078LP011.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU078LP011.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU078LP011.depth.tsv
