sample_id	batch	species	popcode	track_id	organelle	purpose	record	region_count	region_bp	total_depth	mean_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bed_path	depth_path
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	1282206229	10295.702749	124538	1.000000	124538	1.000000	124538	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_population_sites.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	206500192	848.541422	243359	1.000000	243357	0.999992	243356	0.999988	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	62291474	1386.411618	44930	1.000000	44930	1.000000	44930	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	3347329568	22274.841742	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_full_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	1376393519	26740.626341	51472	1.000000	51472	1.000000	51472	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_ir_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	656652007	25514.921006	25736	1.000000	25736	1.000000	25736	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	2690677561	21605.273579	124538	1.000000	124538	1.000000	124538	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_population_sites.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	273479337	1123.769152	243359	1.000000	243358	0.999996	243357	0.999992	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	81520439	1814.387692	44930	1.000000	44930	1.000000	44930	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	1658950551	11039.504844	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_full_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	894610853	17380.534135	51472	1.000000	51472	1.000000	51472	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_ir_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	419380773	16295.491646	25736	1.000000	25736	1.000000	25736	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
