organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
chloroplast	CROS	SILG	10	10	148.238888889	164.111111111	103481	0.903283683142
chloroplast	CROS	SILR	10	6	82.6	99.0333333333	103945	0.834062605183
chloroplast	CROS	STI	10	16	151.960281385	166.768939394	105017	0.911202541298
chloroplast	CROS	TIL	10	9	146.085714286	166.727777778	103352	0.876193014942
chloroplast	CROS	TULP	10	17	14.3544817927	31.2294117647	107467	0.459646243127
chloroplast	CY_ALA	CY_BAL	3	3	528	531.166666667	102002	0.994038280515
chloroplast	CY_ALA	CY_BGL	3	2	509	531.5	102083	0.957666980245
chloroplast	CY_ALA	CY_BOU	3	5	43	43	102218	1
chloroplast	CY_ALA	CY_CAS	3	5	19.6666666667	127.233333333	102118	0.154571653131
chloroplast	CY_ALA	CY_HICN	3	5	595.4	597.25	101896	0.996902469653
chloroplast	CY_ALA	CY_HICS	3	5	40.1666666667	40.5	102218	0.991769547325
chloroplast	CY_ALA	CY_HUN	3	5	613.1	614.05	102043	0.998452894715
chloroplast	CY_ALA	CY_SIE	3	4	310.333333333	462.75	102182	0.670628489105
chloroplast	CY_ALA	CY_WOO	3	5	61.4	62.9333333333	102064	0.97563559322
chloroplast	CY_ALA	DAN	3	5	161.8	163.6	102221	0.988997555012
chloroplast	CY_ALA	DOV	3	7	157.695238095	158.757142857	102218	0.993311137107
chloroplast	CY_ALA	DUD	3	8	158.785714286	165.625	102220	0.958706199461
chloroplast	CY_ALA	KIRN	3	9	156.305555556	158.666666667	102221	0.985119047619
chloroplast	CY_ALA	KIRT	3	10	158	158.5	102197	0.996845425868
chloroplast	CY_ALA	MALV	3	10	158.733333333	159.8	102221	0.99332498957
chloroplast	CY_ALA	OCO	3	10	619.007936508	628.399206349	102115	0.985055248723
chloroplast	CY_ALA	QUI1	3	9	37	37	102202	1
chloroplast	CY_ALA	QUI2	3	10	159.188888889	159.644444444	102219	0.997146436526
chloroplast	CY_ALA	QUIN	3	10	160.216666667	160.733333333	102220	0.996785566155
chloroplast	CY_ALA	RIC	3	10	159	159.8	102221	0.994993742178
chloroplast	CY_ALA	RSV	3	9	156.718253968	158.819444444	102220	0.986769941908
chloroplast	CY_ALA	SILG	3	10	154.772222222	160.411111111	102193	0.964847267438
chloroplast	CY_ALA	SILR	3	6	159.133333333	165.333333333	102221	0.9625
chloroplast	CY_ALA	STI	3	16	154.493614719	159.068939394	102220	0.971236844272
chloroplast	CY_ALA	TIL	3	9	148.619047619	159.027777778	102219	0.934547723019
chloroplast	CY_ALA	TULP	3	17	159.511344538	166.152941176	102221	0.960027209921
chloroplast	CY_BAL	CY_BGL	3	2	18.3333333333	43.5	102134	0.421455938697
chloroplast	CY_BAL	CY_BOU	3	5	541	544.166666667	102193	0.994180704441
chloroplast	CY_BAL	CY_CAS	3	5	396.066666667	506.4	102084	0.782122169563
chloroplast	CY_BAL	CY_HICN	3	5	461.9	466.416666667	101833	0.990316240843
chloroplast	CY_BAL	CY_HICS	3	5	537.166666667	540.666666667	102192	0.993526510481
chloroplast	CY_BAL	CY_HUN	3	5	279.1	283.216666667	102041	0.985464603072
chloroplast	CY_BAL	CY_SIE	3	4	330.833333333	485.916666667	102182	0.680843766078
chloroplast	CY_BAL	CY_WOO	3	5	536.6	541.3	102031	0.991317199335
chloroplast	CY_BAL	DAN	3	5	582.6	587.566666667	102195	0.99154705849
chloroplast	CY_BAL	DOV	3	7	579.40952381	583.638095238	102193	0.992754805653
chloroplast	CY_BAL	DUD	3	8	576.285714286	586.166666667	102195	0.983143100857
chloroplast	CY_BAL	KIRN	3	9	573.194444444	578.722222222	102195	0.990448305654
chloroplast	CY_BAL	KIRT	3	10	574	577.666666667	102187	0.993652625505
chloroplast	CY_BAL	MALV	3	10	578.733333333	582.966666667	102195	0.992738292641
chloroplast	CY_BAL	OCO	3	10	282.800529101	295.358465608	102122	0.957482388453
chloroplast	CY_BAL	QUI1	3	9	533	536.166666667	102175	0.994093876282
chloroplast	CY_BAL	QUI2	3	10	583.188888889	586.811111111	102194	0.993827277375
chloroplast	CY_BAL	QUIN	3	10	584.216666667	587.9	102194	0.993734762148
chloroplast	CY_BAL	RIC	3	10	579	582.966666667	102195	0.993195723026
chloroplast	CY_BAL	RSV	3	9	576.718253968	581.986111111	102194	0.990948483061
chloroplast	CY_BAL	SILG	3	10	576.772222222	585.577777778	102183	0.984962620014
chloroplast	CY_BAL	SILR	3	6	581.133333333	590.5	102195	0.984137736382
chloroplast	CY_BAL	STI	3	16	578.493614719	586.235606061	102194	0.986793720371
chloroplast	CY_BAL	TIL	3	9	571.952380952	585.527777778	102194	0.976815110503
chloroplast	CY_BAL	TULP	3	17	577.092226891	586.790196078	102195	0.983472850684
chloroplast	CY_BGL	CY_BOU	2	5	522	544.5	103011	0.95867768595
chloroplast	CY_BGL	CY_CAS	2	5	377.666666667	507.333333333	102170	0.744415243101
chloroplast	CY_BGL	CY_HICN	2	5	443.9	467.75	101805	0.949011223944
chloroplast	CY_BGL	CY_HICS	2	5	518.166666667	541	102871	0.957794208256
chloroplast	CY_BGL	CY_HUN	2	5	263.1	286.55	102139	0.91816436922
chloroplast	CY_BGL	CY_SIE	2	4	312.583333333	487	102969	0.641854893908
chloroplast	CY_BGL	CY_WOO	2	5	517.6	541.633333333	102036	0.955628038649
chloroplast	CY_BGL	DAN	2	5	562.8	587.1	102926	0.958610117527
chloroplast	CY_BGL	DOV	2	7	558.695238095	582.257142857	103033	0.959533506714
chloroplast	CY_BGL	DUD	2	8	555.285714286	584.5	103034	0.950018330686
chloroplast	CY_BGL	KIRN	2	9	552.972222222	577.833333333	102990	0.956975290837
chloroplast	CY_BGL	KIRT	2	10	554	577	102916	0.96013864818
chloroplast	CY_BGL	MALV	2	10	557.733333333	581.3	103035	0.959458684558
chloroplast	CY_BGL	OCO	2	10	266.407936508	298.299206349	102279	0.893089659099
chloroplast	CY_BGL	QUI1	2	9	514	536.5	102529	0.958061509786
chloroplast	CY_BGL	QUI2	2	10	562.188888889	585.144444444	102878	0.960769420656
chloroplast	CY_BGL	QUIN	2	10	563.216666667	586.233333333	103006	0.960738045147
chloroplast	CY_BGL	RIC	2	10	558	581.3	103001	0.959917426458
chloroplast	CY_BGL	RSV	2	9	556.718253968	581.319444444	103033	0.957680427326
chloroplast	CY_BGL	SILG	2	10	555.772222222	583.911111111	102883	0.95180963617
chloroplast	CY_BGL	SILR	2	6	560.133333333	588.833333333	103035	0.951259552788
chloroplast	CY_BGL	STI	2	16	557.493614719	584.568939394	103034	0.953683264965
chloroplast	CY_BGL	TIL	2	9	550.952380952	583.861111111	103024	0.943636029986
chloroplast	CY_BGL	TULP	2	17	556.092226891	585.123529412	103035	0.950384318761
chloroplast	CY_BOU	CY_CAS	5	5	41.6	149.166666667	102306	0.278882681564
chloroplast	CY_BOU	CY_HICN	5	5	607.4	609.25	101920	0.996963479688
chloroplast	CY_BOU	CY_HICS	5	5	15.1666666667	15.5	103074	0.978494623656
chloroplast	CY_BOU	CY_HUN	5	5	626.1	627.05	102208	0.998484969301
chloroplast	CY_BOU	CY_SIE	5	4	323.333333333	475.75	103736	0.679628656507
chloroplast	CY_BOU	CY_WOO	5	5	66.4	67.9333333333	102172	0.977428851816
chloroplast	CY_BOU	DAN	5	5	176.8	178.6	103717	0.989921612542
chloroplast	CY_BOU	DOV	5	7	164.695238095	165.757142857	103803	0.993593610848
chloroplast	CY_BOU	DUD	5	8	173.785714286	180.625	103794	0.962135442412
chloroplast	CY_BOU	KIRN	5	9	171.305555556	173.666666667	103782	0.986404350608
chloroplast	CY_BOU	KIRT	5	10	173	173.5	103694	0.99711815562
chloroplast	CY_BOU	MALV	5	10	173.733333333	174.8	103806	0.993897787948
chloroplast	CY_BOU	OCO	5	10	632.007936508	641.399206349	102369	0.985358151759
chloroplast	CY_BOU	QUI1	5	9	50	50	102683	1
chloroplast	CY_BOU	QUI2	5	10	174.188888889	174.644444444	103100	0.997391525639
