organelle	track_id	sample_count	consensus_length	raw_records	filtered_records	filtered_variant_sites	masked_failed_variant_sites	missing_bases	bed_path	raw_vcf_path	filtered_vcf_path	alignment_fasta_path	site_table_path
cpDNA	cpdna_population_sites	278	124538	2531	2022	2022	508	347258	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_population_sites.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/cpDNA.primary.raw.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/11_callable_consensus/cpDNA.primary.callable_consensus.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/11_callable_consensus/cpDNA.primary.callable_sites.tsv
mtDNA	mtdna_high_confidence_unique	278	44930	192	146	146	46	152444	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/mtDNA.primary.raw.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/11_callable_consensus/mtDNA.primary.callable_consensus.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/11_callable_consensus/mtDNA.primary.callable_sites.tsv
