organelle	track_id	sample_count	alignment_sites	retained_sites	missing_bases	pc1_variance	pc2_variance	alignment_fasta_path	coordinates_path	variance_path	png_path	pdf_path	svg_path
cpDNA	cpdna_population_sites	278	2022	2022	3698	0.37039805	0.14446194	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/10_snp_alignment/cpDNA.primary.snp_alignment.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/cpDNA.primary.pca.coordinates.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/cpDNA.primary.pca.variance.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/cpDNA.primary.pca.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/cpDNA.primary.pca.pdf	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/cpDNA.primary.pca.svg
mtDNA	mtdna_high_confidence_unique	278	146	146	748	0.34427997	0.14025739	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/10_snp_alignment/mtDNA.primary.snp_alignment.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/mtDNA.primary.pca.coordinates.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/mtDNA.primary.pca.variance.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/mtDNA.primary.pca.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/mtDNA.primary.pca.pdf	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/15_pca/mtDNA.primary.pca.svg
