organelle	track_id	sample_count	filtered_records	alignment_sites	missing_bases	filtered_vcf_path	alignment_fasta_path	site_table_path
cpDNA	cpdna_population_sites	275	2015	2015	252	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/cpDNA.primary.snp_alignment.fa	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/cpDNA.primary.snp_sites.tsv
mtDNA	mtdna_high_confidence_unique	275	146	146	349	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/mtDNA.primary.snp_alignment.fa	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/mtDNA.primary.snp_sites.tsv
