population_1	population_2	chloroplast_hudson_fst	mitochondria_hudson_fst	global_spearman_rho	eligible_common_pair_count	finite_common_pair_count	nonfinite_common_pair_count	used_for_correlation
ABBE_BERN	SILR	0.972592592593	0.99173553719	0.795572083926	561	557	4	yes
ABBE_BERN	STI	0.974317907899	0.966835661183	0.795572083926	561	557	4	yes
ABBE_BERN	TIL	0.964404972872	0.94513765102	0.795572083926	561	557	4	yes
ABBE_BERN	TULP	0.970914100833	0.977766013764	0.795572083926	561	557	4	yes
ABMU_HOR	BAI	0.959984564221	0.928229665072	0.795572083926	561	557	4	yes
ABMU_HOR	COM	0.981987984331	0.948024948025	0.795572083926	561	557	4	yes
ABMU_HOR	CROB	0.982065339583	0.924501922405	0.795572083926	561	557	4	yes
ABMU_HOR	CROS	0.963418404149	0.873091100579	0.795572083926	561	557	4	yes
ABMU_HOR	CY_ALA	0.982727586075	0.943089430894	0.795572083926	561	557	4	yes
ABMU_HOR	CY_BAL	0.983663979225	0.960451977401	0.795572083926	561	557	4	yes
ABMU_HOR	CY_BGL	0.946812025107	0.928961748634	0.795572083926	561	557	4	yes
ABMU_HOR	CY_BOU	0.982947026128	0.933333333333	0.795572083926	561	557	4	yes
ABMU_HOR	CY_CAS	0.752843504723	0.619259259259	0.795572083926	561	557	4	yes
ABMU_HOR	CY_HICN	0.986888019456	0.946540880503	0.795572083926	561	557	4	yes
ABMU_HOR	CY_HICS	0.982048252468	0.933333333333	0.795572083926	561	557	4	yes
ABMU_HOR	CY_HUN	0.987552083333	0.967741935484	0.795572083926	561	557	4	yes
ABMU_HOR	CY_SIE	0.726779389923	0.698198198198	0.795572083926	561	557	4	yes
ABMU_HOR	CY_WOO	0.981322869109	0.925318761384	0.795572083926	561	557	4	yes
ABMU_HOR	DAN	0.980952056428	0.954248366013	0.795572083926	561	557	4	yes
ABMU_HOR	DOV	0.982373450742	0.943089430894	0.795572083926	561	557	4	yes
ABMU_HOR	DUD	0.970665719589	0.921276595745	0.795572083926	561	557	4	yes
ABMU_HOR	KIRN	0.980939534563	0.943089430894	0.795572083926	561	557	4	yes
ABMU_HOR	KIRT	0.984443447967	0.943089430894	0.795572083926	561	557	4	yes
ABMU_HOR	MALV	0.982313953089	0.945736434109	0.795572083926	561	557	4	yes
ABMU_HOR	OCO	0.973938417094	0.941870503597	0.795572083926	561	557	4	yes
ABMU_HOR	QUI1	0.982985626438	0.919746919747	0.795572083926	561	557	4	yes
ABMU_HOR	QUI2	0.983567886956	0.948148148148	0.795572083926	561	557	4	yes
ABMU_HOR	QUIN	0.983407943334	0.948148148148	0.795572083926	561	557	4	yes
ABMU_HOR	RIC	0.982863422508	0.932676518883	0.795572083926	561	557	4	yes
ABMU_HOR	RSV	0.980329111308	0.930379746835	0.795572083926	561	557	4	yes
ABMU_HOR	SILG	0.972064265194	0.899552461462	0.795572083926	561	557	4	yes
ABMU_HOR	SILR	0.97304646341	0.952380952381	0.795572083926	561	557	4	yes
ABMU_HOR	STI	0.975332995516	0.912309592425	0.795572083926	561	557	4	yes
ABMU_HOR	TIL	0.963479305596	0.884974646384	0.795572083926	561	557	4	yes
ABMU_HOR	TULP	0.971040167623	0.923396965247	0.795572083926	561	557	4	yes
BAI	COM	0.920787091157	0.94769874477	0.795572083926	561	557	4	yes
BAI	CROB	0.920634920635	0.916363636364	0.795572083926	561	557	4	yes
BAI	CROS	0.866877084268	0.780423280423	0.795572083926	561	557	4	yes
BAI	CY_ALA	0.928364177212	0.960317460317	0.795572083926	561	557	4	yes
BAI	CY_BAL	0.977804762041	0.988262910798	0.795572083926	561	557	4	yes
BAI	CY_BGL	0.943265069452	0.936562860438	0.795572083926	561	557	4	yes
BAI	CY_BOU	0.930911228689	0.938271604938	0.795572083926	561	557	4	yes
BAI	CY_CAS	0.527350208489	0.462962962963	0.795572083926	561	557	4	yes
BAI	CY_HICN	0.981017699008	0.966115051221	0.795572083926	561	557	4	yes
BAI	CY_HICS	0.927867287266	0.938271604938	0.795572083926	561	557	4	yes
BAI	CY_HUN	0.98178864467	0.990310077519	0.795572083926	561	557	4	yes
BAI	CY_SIE	0.693219435811	0.694564694565	0.795572083926	561	557	4	yes
BAI	CY_WOO	0.927312170347	0.913978494624	0.795572083926	561	557	4	yes
