partition	coordinate_span_sites	coordinate_span_fraction	sites_with_at_least_two_callable_shared_samples	at_least_two_callable_site_fraction	jointly_callable_shared_sample_sites	jointly_callable_site_fraction	variable_sites_including_singletons	variable_site_fraction	parsimony_informative_sites	parsimony_informative_site_fraction
chloroplast	150274	0.381761691728	108189	0.71472739164	98370	0.851961234335	2261	0.939343581221	2014	0.942883895131
mitochondria	243359	0.618238308272	43182	0.28527260836	17093	0.148038765665	146	0.0606564187786	122	0.0571161048689
