organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	CY_ALA	OCO	3	10	33.3666666667	34.4444444444	43157	0.968709677419
mitochondria	CY_ALA	QUI1	3	8	5.10714285714	5.375	43166	0.950166112957
mitochondria	CY_ALA	QUI2	3	10	10	10	43022	1
mitochondria	CY_ALA	QUIN	3	9	10	10	43022	1
mitochondria	CY_ALA	RIC	3	9	8	8	43166	1
mitochondria	CY_ALA	RSV	3	8	9.03571428571	9.375	43152	0.96380952381
mitochondria	CY_ALA	SILG	3	9	8.8253968254	9.94444444444	43158	0.887470071828
mitochondria	CY_ALA	SILR	3	6	12	12	43165	1
mitochondria	CY_ALA	STI	3	16	8.71904761905	9.45416666667	43151	0.922243908582
mitochondria	CY_ALA	TIL	3	8	8.40476190476	9.80357142857	43151	0.857316332726
mitochondria	CY_ALA	TULP	3	17	7.16176470588	7.52941176471	43166	0.951171875
mitochondria	CY_BAL	CY_BGL	2	2	1	2.5	42634	0.4
mitochondria	CY_BAL	CY_BOU	2	5	23	23	42631	1
mitochondria	CY_BAL	CY_CAS	2	5	19	26	42631	0.730769230769
mitochondria	CY_BAL	CY_HICN	2	3	27	28	42629	0.964285714286
mitochondria	CY_BAL	CY_HICS	2	4	23	23	42630	1
mitochondria	CY_BAL	CY_HUN	2	4	22	22	42634	1
mitochondria	CY_BAL	CY_SIE	2	3	14.3333333333	27.8333333333	42631	0.51497005988
mitochondria	CY_BAL	CY_WOO	2	4	24	24	42622	1
mitochondria	CY_BAL	DAN	2	5	29	29	42447	1
mitochondria	CY_BAL	DOV	2	7	28	28	42634	1
mitochondria	CY_BAL	DUD	2	8	27	27.375	42634	0.986301369863
mitochondria	CY_BAL	KIRN	2	9	28	28	42634	1
mitochondria	CY_BAL	KIRT	2	10	28	28	42634	1
mitochondria	CY_BAL	MALV	2	10	29	29	42634	1
mitochondria	CY_BAL	OCO	2	10	21.3	22.1444444444	42634	0.961866532865
mitochondria	CY_BAL	QUI1	2	8	25.1071428571	25.375	42631	0.989444053483
mitochondria	CY_BAL	QUI2	2	10	30	30	42491	1
mitochondria	CY_BAL	QUIN	2	9	30	30	42491	1
mitochondria	CY_BAL	RIC	2	9	28	28	42634	1
mitochondria	CY_BAL	RSV	2	8	29.0357142857	29.375	42620	0.988449848024
mitochondria	CY_BAL	SILG	2	9	28.8253968254	29.9444444444	42627	0.962629207527
mitochondria	CY_BAL	SILR	2	6	29	29	42633	1
mitochondria	CY_BAL	STI	2	16	28.719047619	29.4541666667	42619	0.975041933593
mitochondria	CY_BAL	TIL	2	8	28.4047619048	29.8035714286	42619	0.953065708009
mitochondria	CY_BAL	TULP	2	17	27.1617647059	27.5294117647	42634	0.986645299145
mitochondria	CY_BGL	CY_BOU	2	5	22	23.5	43159	0.936170212766
mitochondria	CY_BGL	CY_CAS	2	5	17.6	26.5	43159	0.664150943396
mitochondria	CY_BGL	CY_HICN	2	3	29	31	43157	0.935483870968
mitochondria	CY_BGL	CY_HICS	2	4	22	23.5	43158	0.936170212766
mitochondria	CY_BGL	CY_HUN	2	4	19	20.5	43160	0.926829268293
mitochondria	CY_BGL	CY_SIE	2	3	15.3333333333	30.3333333333	43159	0.505494505495
mitochondria	CY_BGL	CY_WOO	2	4	23	24.5	43150	0.938775510204
mitochondria	CY_BGL	DAN	2	5	30	31.5	42975	0.952380952381
mitochondria	CY_BGL	DOV	2	7	27	28.5	43162	0.947368421053
mitochondria	CY_BGL	DUD	2	8	26	27.875	43162	0.932735426009
mitochondria	CY_BGL	KIRN	2	9	27	28.5	43162	0.947368421053
mitochondria	CY_BGL	KIRT	2	10	27	28.5	43162	0.947368421053
mitochondria	CY_BGL	MALV	2	10	28	29.5	43162	0.949152542373
mitochondria	CY_BGL	OCO	2	10	18.3666666667	20.9444444444	43161	0.876923076923
mitochondria	CY_BGL	QUI1	2	8	24.1071428571	25.875	43159	0.931677018634
mitochondria	CY_BGL	QUI2	2	10	29	30.5	43018	0.950819672131
mitochondria	CY_BGL	QUIN	2	9	29	30.5	43018	0.950819672131
mitochondria	CY_BGL	RIC	2	9	27	28.5	43162	0.947368421053
mitochondria	CY_BGL	RSV	2	8	28.0357142857	29.875	43148	0.938433950986
mitochondria	CY_BGL	SILG	2	9	27.8253968254	30.4444444444	43155	0.913972888425
mitochondria	CY_BGL	SILR	2	6	29	30.5	43161	0.950819672131
mitochondria	CY_BGL	STI	2	16	27.719047619	29.9541666667	43147	0.925382032073
mitochondria	CY_BGL	TIL	2	8	27.4047619048	30.3035714286	43147	0.904340993911
