sample_id	step	command
BAI_LP_105_Du-222	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/BAI_LP_105_Du-222.organelle.sorted.tmp.bam -
BAI_LP_105_Du-222	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/BAI_LP_105_Du-222.organelle.sorted.bam
BAI_LP_105_Du-222	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/BAI_LP_105_Du-222.organelle.sorted.bam
BAI_LP_105_Du-222	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/BAI_LP_105_Du-222.organelle.sorted.bam
BAI_LP_105_Du-222	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/BAI_LP_105_Du-222.organelle.sorted.bam
CY_BAL_LP_226_Du-602	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BAL/CY_BAL_LP_226_Du-602_S281_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BAL/CY_BAL_LP_226_Du-602_S281_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.tmp.bam -
CY_BAL_LP_226_Du-602	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam
CY_BAL_LP_226_Du-602	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam
CY_BAL_LP_226_Du-602	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam
CY_BAL_LP_226_Du-602	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam
ABBE_BERN_LP_311_Du-780	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.tmp.bam -
ABBE_BERN_LP_311_Du-780	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam
ABBE_BERN_LP_311_Du-780	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam
ABBE_BERN_LP_311_Du-780	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam
ABBE_BERN_LP_311_Du-780	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam
COM_LP_269_Du-703	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.tmp.bam -
COM_LP_269_Du-703	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam
COM_LP_269_Du-703	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam
COM_LP_269_Du-703	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam
COM_LP_269_Du-703	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam
CY_BGL_LP_210_Du-577	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BGL/CY_BGL_LP_210_Du-577_S193_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BGL/CY_BGL_LP_210_Du-577_S193_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.tmp.bam -
CY_BGL_LP_210_Du-577	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam
CY_BGL_LP_210_Du-577	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam
CY_BGL_LP_210_Du-577	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam
