organelle	track_id	sample_count	consensus_length	raw_records	filtered_records	filtered_variant_sites	masked_failed_variant_sites	missing_bases	bed_path	raw_vcf_path	filtered_vcf_path	alignment_fasta_path	site_table_path
cpDNA	cpdna_population_sites	275	124538	2475	2015	2015	459	127485	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_population_sites.bed	dudleya_organelle_alignment_pipeline/results/08_variant_calling/cpDNA.primary.raw.vcf.gz	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz	dudleya_organelle_alignment_pipeline/results/11_callable_consensus/cpDNA.primary.callable_consensus.fa	dudleya_organelle_alignment_pipeline/results/11_callable_consensus/cpDNA.primary.callable_sites.tsv
mtDNA	mtdna_high_confidence_unique	275	44930	190	146	146	44	31313	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	dudleya_organelle_alignment_pipeline/results/08_variant_calling/mtDNA.primary.raw.vcf.gz	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz	dudleya_organelle_alignment_pipeline/results/11_callable_consensus/mtDNA.primary.callable_consensus.fa	dudleya_organelle_alignment_pipeline/results/11_callable_consensus/mtDNA.primary.callable_sites.tsv
