organelle	qc_eligible_samples	high_confidence_variant_sites_including_fixed_alternate	primary_variants_including_singletons	population_count	pairwise_fst_count	minimum_callable_pi	maximum_callable_pi
chloroplast	276	2273	2261	35	595	0	0.00291343440058
mitochondria	271	157	146	35	595	0	0.00045170257123
