organelle	track_id	sample_count	tip_count	alignment_sites	method	model	treefile_path	png_path	pdf_path	svg_path	figure_width	figure_height
cpDNA	cpdna_population_sites	278	278	124538	iqtree_ml_fast	GTR+F+G4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/12_phylogenetic_tree/cpDNA.primary.iqtree_ml.treefile	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/14_tree_visualization/cpDNA.primary.iqtree_ml_tree.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/14_tree_visualization/cpDNA.primary.iqtree_ml_tree.pdf	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/14_tree_visualization/cpDNA.primary.iqtree_ml_tree.svg	14.00	46.48
mtDNA	mtdna_high_confidence_unique	278	278	44930	iqtree_ml_fast	GTR+F+G4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/12_phylogenetic_tree/mtDNA.primary.iqtree_ml.treefile	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/14_tree_visualization/mtDNA.primary.iqtree_ml_tree.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/14_tree_visualization/mtDNA.primary.iqtree_ml_tree.pdf	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/14_tree_visualization/mtDNA.primary.iqtree_ml_tree.svg	14.00	46.48
