organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
chloroplast	ABMU_HOR	CY_ALA	6	3	427.666666667	435.183333333	101947	0.982727586075
chloroplast	ABMU_HOR	CY_BAL	6	3	542.933333333	551.95	101759	0.983663979225
chloroplast	ABMU_HOR	CY_BGL	6	2	525.433333333	554.95	102546	0.946812025107
chloroplast	ABMU_HOR	CY_BOU	6	5	433.266666667	440.783333333	103364	0.982947026128
chloroplast	ABMU_HOR	CY_CAS	6	5	348.82	463.336666667	101964	0.752843504723
chloroplast	ABMU_HOR	CY_HICN	6	3	620.6	628.783333333	101399	0.986985448088
chloroplast	ABMU_HOR	CY_HICS	6	5	429.433333333	437.283333333	102727	0.982048252468
chloroplast	ABMU_HOR	CY_HUN	6	5	632.033333333	640	101865	0.987552083333
chloroplast	ABMU_HOR	CY_SIE	6	3	358.155555556	567.338888889	103406	0.631290332057
chloroplast	ABMU_HOR	CY_WOO	6	4	434.266666667	442.283333333	101923	0.981874364095
chloroplast	ABMU_HOR	DAN	6	5	479.8	489.116666667	103386	0.980952056428
chloroplast	ABMU_HOR	DOV	6	7	459.528571429	467.773809524	103485	0.982373450742
chloroplast	ABMU_HOR	DUD	6	8	475.035714286	489.391666667	103488	0.970665719589
chloroplast	ABMU_HOR	KIRN	6	9	474.046296296	483.257407407	103458	0.980939534563
chloroplast	ABMU_HOR	KIRT	6	10	475.666666667	483.183333333	103353	0.984443447967
chloroplast	ABMU_HOR	MALV	6	10	476.733333333	485.316666667	103496	0.982313953089
chloroplast	ABMU_HOR	OCO	6	10	637.347619048	654.402380952	101986	0.973938417094
chloroplast	ABMU_HOR	QUI1	6	9	434.266666667	441.783333333	102300	0.982985626438
chloroplast	ABMU_HOR	QUI2	6	10	477.188888889	485.161111111	102791	0.983567886956
chloroplast	ABMU_HOR	QUIN	6	9	478.357142857	486.445238095	103404	0.983373061129
chloroplast	ABMU_HOR	RIC	6	9	477	485.405555556	103437	0.982683437675
chloroplast	ABMU_HOR	RSV	6	8	474.166666667	483.633333333	103482	0.980425942518
chloroplast	ABMU_HOR	SILG	6	9	456.888888889	470.438888889	103017	0.971197109083
chloroplast	ABMU_HOR	SILR	6	6	477.133333333	490.35	103428	0.97304646341
chloroplast	ABMU_HOR	STI	6	16	466.820021645	478.626298701	103495	0.975332995516
chloroplast	ABMU_HOR	TIL	6	9	465.888888889	483.548412698	102960	0.963479305596
chloroplast	ABMU_HOR	TULP	6	17	474.73487395	488.893137255	103497	0.971040167623
chloroplast	BAI	COM	8	9	150.392857143	162.075396825	103353	0.927919104865
chloroplast	BAI	CROB	8	10	148.926190476	160.539285714	104719	0.927661972667
chloroplast	BAI	CROS	8	10	143.192857143	163.914285714	105935	0.873583754576
chloroplast	BAI	CY_ALA	8	3	151.726190476	162.214285714	102002	0.935344194921
chloroplast	BAI	CY_BAL	8	3	570.726190476	582.589285714	101805	0.979637292465
chloroplast	BAI	CY_BGL	8	2	552.226190476	584.214285714	102568	0.945245955088
chloroplast	BAI	CY_BOU	8	5	157.726190476	168.214285714	103576	0.937650389243
chloroplast	BAI	CY_CAS	8	5	132.926190476	250.414285714	102018	0.530825108867
chloroplast	BAI	CY_HICN	8	3	640.226190476	651.380952381	101446	0.982875210176
chloroplast	BAI	CY_HICS	8	5	154.892857143	165.714285714	102781	0.934698275862
chloroplast	BAI	CY_HUN	8	5	653.326190476	664.264285714	101911	0.983533519002
chloroplast	BAI	CY_SIE	8	3	279.726190476	491.880952381	104817	0.568686770899
chloroplast	BAI	CY_WOO	8	4	158.726190476	169.714285714	101976	0.935255331089
chloroplast	BAI	DAN	8	5	155.126190476	167.414285714	103697	0.926600676963
chloroplast	BAI	DOV	8	7	119.219047619	130.435714286	105925	0.914006169797
chloroplast	BAI	DUD	8	8	152.511904762	169.839285714	103918	0.897977780114
chloroplast	BAI	KIRN	8	9	149.642857143	161.825396825	105573	0.924717999019
chloroplast	BAI	KIRT	8	10	151.226190476	161.714285714	105294	0.935144287397
chloroplast	BAI	MALV	8	10	152.45952381	164.014285714	105935	0.929550271463
chloroplast	BAI	OCO	8	10	659.54047619	679.566666667	102030	0.970530940585
chloroplast	BAI	QUI1	8	9	158.726190476	169.214285714	102353	0.93801885465
chloroplast	BAI	QUI2	8	10	162.415079365	173.358730159	102846	0.93687280252
chloroplast	BAI	QUIN	8	9	163.583333333	174.642857143	105398	0.936673483299
chloroplast	BAI	RIC	8	9	152.726190476	164.103174603	105792	0.930671760894
chloroplast	BAI	RSV	8	8	159.726190476	172.164285714	105108	0.927754498057
chloroplast	BAI	SILG	8	9	116.615079365	133.136507937	103076	0.87590609948
chloroplast	BAI	SILR	8	6	152.60952381	168.797619048	103601	0.90409760914
chloroplast	BAI	STI	8	16	151.319681509	166.397387137	104611	0.909387365468
chloroplast	BAI	TIL	8	9	152.198412698	173.023809524	103009	0.87963854869
chloroplast	BAI	TULP	8	17	151.637535014	168.767226891	105935	0.89850107635
chloroplast	COM	CROB	9	10	86.1166666667	88.4361111111	103299	0.973772654459
chloroplast	COM	CROS	9	10	80.3833333333	91.8111111111	103426	0.875529468716
chloroplast	COM	CY_ALA	9	3	156.916666667	158.111111111	102003	0.992445537597
chloroplast	COM	CY_BAL	9	3	577.916666667	580.611111111	101807	0.995359295761
chloroplast	COM	CY_BGL	9	2	557.916666667	581.111111111	102595	0.960086042065
chloroplast	COM	CY_BOU	9	5	170.916666667	172.111111111	103315	0.993060038735
chloroplast	COM	CY_CAS	9	5	138.616666667	246.811111111	102020	0.561630576689
chloroplast	COM	CY_HICN	9	3	642.916666667	644.777777778	101448	0.997113561951
chloroplast	COM	CY_HICS	9	5	167.083333333	168.611111111	102783	0.990939044481
chloroplast	COM	CY_HUN	9	5	659.016666667	660.661111111	101913	0.997510910788
chloroplast	COM	CY_SIE	9	3	283.916666667	486.777777778	103284	0.583257247204
chloroplast	COM	CY_WOO	9	4	171.916666667	173.611111111	101978	0.99024
chloroplast	COM	DAN	9	5	62.7166666667	65.7111111111	103279	0.954430165708
chloroplast	COM	DOV	9	7	158.445238095	160.368253968	103410	0.988008749703
chloroplast	COM	DUD	9	8	89.7023809524	97.7361111111	103425	0.917801823017
chloroplast	COM	KIRN	9	9	87.2222222222	90.1111111111	103349	0.96794081381
chloroplast	COM	KIRT	9	10	88.9166666667	90.1111111111	103244	0.986744759556
chloroplast	COM	MALV	9	10	89.65	91.9111111111	103425	0.97539893617
chloroplast	COM	OCO	9	10	665.230952381	675.963492063	102036	0.984122604536
chloroplast	COM	QUI1	9	9	163.916666667	165.111111111	102354	0.992765814266
chloroplast	COM	QUI2	9	10	166.105555556	167.755555556	102848	0.990164260167
chloroplast	COM	QUIN	9	9	167.273809524	169.03968254	103291	0.989553500164
chloroplast	COM	RIC	9	9	89.9166666667	92	103328	0.977355072464
chloroplast	COM	RSV	9	8	163.416666667	166.561111111	103389	0.981121376872
chloroplast	COM	SILG	9	9	155.805555556	163.033333333	103074	0.955666871124
chloroplast	COM	SILR	9	6	60.05	66.9444444444	103393	0.897012448133
chloroplast	COM	STI	9	16	161.2245671	167.008621934	103413	0.965366729172
chloroplast	COM	TIL	9	9	155.5	167.031746032	103014	0.930960752637
chloroplast	COM	TULP	9	17	90.4280112045	98.2640522876	103425	0.920255262218
chloroplast	CROB	CROS	10	10	3.42666666667	14.785	104730	0.23176642994
chloroplast	CROB	CY_ALA	10	3	155.2	156.325	102004	0.992803454342
chloroplast	CROB	CY_BAL	10	3	574.2	576.825	101807	0.995449226368
chloroplast	CROB	CY_BGL	10	2	554.2	577.325	102511	0.959944571948
chloroplast	CROB	CY_BOU	10	5	169.2	170.325	103518	0.993394980185
chloroplast	CROB	CY_CAS	10	5	136.9	245.025	101997	0.558718498112
chloroplast	CROB	CY_HICN	10	3	641.2	642.991666667	101442	0.997213546054
chloroplast	CROB	CY_HICS	10	5	165.366666667	166.825	102745	0.991258304611
chloroplast	CROB	CY_HUN	10	5	655.1125	656.6875	101913	0.997601598934
chloroplast	CROB	CY_SIE	10	3	282.2	484.991666667	104619	0.581865667795
chloroplast	CROB	CY_WOO	10	4	170.075	171.7	101978	0.990535818288
chloroplast	CROB	DAN	10	5	90.85	93.775	103703	0.968808317782
chloroplast	CROB	DOV	10	7	156.728571429	158.582142857	104711	0.988311600568
chloroplast	CROB	DUD	10	8	26.8107142857	34.775	103744	0.770976686865
chloroplast	CROB	KIRN	10	9	6.90555555556	9.725	104730	0.710082833476
chloroplast	CROB	KIRT	10	10	8.35	9.475	104674	0.881266490765
chloroplast	CROB	MALV	10	10	8.93333333333	11.125	104730	0.802996254682
chloroplast	CROB	OCO	10	10	661.514285714	672.177380952	101987	0.984136486082
chloroplast	CROB	QUI1	10	9	162.2	163.325	102310	0.993111893464
chloroplast	CROB	QUI2	10	10	162.338888889	163.919444444	102849	0.990357729915
chloroplast	CROB	QUIN	10	9	163.45	165.146428571	104717	0.989727730802
chloroplast	CROB	RIC	10	9	9.6	11.6138888889	104729	0.826596508012
chloroplast	CROB	RSV	10	8	159.7	162.775	104706	0.981108892643
chloroplast	CROB	SILG	10	9	153.922222222	161.080555556	103078	0.955560537343
chloroplast	CROB	SILR	10	6	88.3333333333	95.1583333333	103546	0.92827743235
chloroplast	CROB	STI	10	16	157.507900433	163.222510823	104529	0.964988834194
chloroplast	CROB	TIL	10	9	151.783333333	163.245634921	102954	0.929784942839
chloroplast	CROB	TULP	10	17	30.7113445378	38.4779411765	104730	0.798154568535
chloroplast	CROS	CY_ALA	10	3	149.466666667	159.7	102004	0.935921519516
chloroplast	CROS	CY_BAL	10	3	568.4	579.9	101807	0.980168994654
chloroplast	CROS	CY_BGL	10	2	548.4	580.4	102595	0.944865609924
chloroplast	CROS	CY_BOU	10	5	163.466666667	173.7	103581	0.941086163884
chloroplast	CROS	CY_CAS	10	5	131.166666667	248.4	102020	0.528046162104
chloroplast	CROS	CY_HICN	10	3	635.466666667	646.366666667	101450	0.983136506627
chloroplast	CROS	CY_HICS	10	5	159.633333333	170.2	102783	0.937916177047
chloroplast	CROS	CY_HUN	10	5	649.5	659.95	101913	0.984165467081
chloroplast	CROS	CY_SIE	10	3	276.466666667	488.366666667	104824	0.566104702751
chloroplast	CROS	CY_WOO	10	4	164.466666667	175.2	101978	0.938736681887
chloroplast	CROS	DAN	10	5	85.2666666667	97.3	103703	0.876327509421
chloroplast	CROS	DOV	10	7	150.995238095	161.957142857	106645	0.932316015407
chloroplast	CROS	DUD	10	8	14.0523809524	31.125	104173	0.451482118952
chloroplast	CROS	KIRN	10	9	7.77222222222	19.7	105586	0.394529046813
chloroplast	CROS	KIRT	10	10	9.46666666667	19.7	105306	0.480541455161
chloroplast	CROS	MALV	10	10	10.2	21.5	106801	0.474418604651
chloroplast	CROS	OCO	10	10	655.114285714	674.652380952	102037	0.971039759453
chloroplast	CROS	QUI1	10	9	156.466666667	166.7	102356	0.938612277544
chloroplast	CROS	QUI2	10	10	156.655555556	167.344444444	102850	0.936126419228
chloroplast	CROS	QUIN	10	9	157.823809524	168.628571429	105403	0.935925674912
chloroplast	CROS	RIC	10	9	10.4666666667	21.5888888889	105852	0.484817292846
chloroplast	CROS	RSV	10	8	153.966666667	166.15	105159	0.926672685325
chloroplast	CROS	SILG	10	9	148.355555556	164.622222222	103080	0.901187904968
chloroplast	CROS	SILR	10	6	82.6	98.5333333333	103681	0.838294993234
chloroplast	CROS	STI	10	16	151.7745671	166.597510823	104674	0.911025418989
chloroplast	CROS	TIL	10	9	146.05	166.620634921	103039	0.876542092578
chloroplast	CROS	TULP	10	17	14.3544817927	31.2294117647	107199	0.459646243127
chloroplast	CY_ALA	CY_BAL	3	3	527	528.5	101712	0.997161778619
chloroplast	CY_ALA	CY_BGL	3	2	509	531	101814	0.95856873823
chloroplast	CY_ALA	CY_BOU	3	5	42	42	101990	1
chloroplast	CY_ALA	CY_CAS	3	5	18.5	125.5	101851	0.147410358566
chloroplast	CY_ALA	CY_HICN	3	3	595	595.666666667	101430	0.99888080582
chloroplast	CY_ALA	CY_HICS	3	5	39.1666666667	39.5	101990	0.991561181435
chloroplast	CY_ALA	CY_HUN	3	5	612.1	612.55	101788	0.999265366093
chloroplast	CY_ALA	CY_SIE	3	3	215	416.666666667	101949	0.516
chloroplast	CY_ALA	CY_WOO	3	4	63	63.5	101877	0.992125984252
chloroplast	CY_ALA	DAN	3	5	161.8	163.6	101990	0.988997555012
chloroplast	CY_ALA	DOV	3	7	157.528571429	158.257142857	101994	0.995396280917
chloroplast	CY_ALA	DUD	3	8	158.785714286	165.625	102004	0.958706199461
chloroplast	CY_ALA	KIRN	3	9	156.305555556	158	102004	0.989275668073
chloroplast	CY_ALA	KIRT	3	10	158	158	101949	1
chloroplast	CY_ALA	MALV	3	10	158.733333333	159.8	102004	0.99332498957
chloroplast	CY_ALA	OCO	3	10	618.114285714	627.652380952	101831	0.984803538507
chloroplast	CY_ALA	QUI1	3	9	37	37	101991	1
chloroplast	CY_ALA	QUI2	3	10	159.188888889	159.644444444	102002	0.997146436526
chloroplast	CY_ALA	QUIN	3	9	160.357142857	160.928571429	102001	0.996449178873
chloroplast	CY_ALA	RIC	3	9	159	159.888888889	102003	0.994440583739
chloroplast	CY_ALA	RSV	3	8	156.5	158.45	101990	0.987693278637
chloroplast	CY_ALA	SILG	3	9	154.888888889	160.922222222	101969	0.962507767728
chloroplast	CY_ALA	SILR	3	6	159.133333333	164.833333333	102003	0.965419615774
chloroplast	CY_ALA	STI	3	16	154.307900433	158.897510823	102003	0.971115907569
chloroplast	CY_ALA	TIL	3	9	148.583333333	158.920634921	101993	0.934953056332
chloroplast	CY_ALA	TULP	3	17	159.511344538	166.152941176	102004	0.960027209921
chloroplast	CY_BAL	CY_BGL	3	2	18	41.5	101738	0.433734939759
chloroplast	CY_BAL	CY_BOU	3	5	539	540.5	101803	0.997224791859
chloroplast	CY_BAL	CY_CAS	3	5	395.3	503.6	101695	0.784948371724
chloroplast	CY_BAL	CY_HICN	3	3	462	464.166666667	101344	0.995332136445
chloroplast	CY_BAL	CY_HICS	3	5	535.166666667	537	101804	0.996585971446
chloroplast	CY_BAL	CY_HUN	3	5	276.1	278.05	101672	0.992986872865
chloroplast	CY_BAL	CY_SIE	3	3	285.333333333	488.5	101794	0.584100989423
chloroplast	CY_BAL	CY_WOO	3	4	538	540	101700	0.996296296296
chloroplast	CY_BAL	DAN	3	5	581.6	584.9	101800	0.994358009916
chloroplast	CY_BAL	DOV	3	7	578.242857143	580.471428571	101797	0.996160756036
chloroplast	CY_BAL	DUD	3	8	575.285714286	583.5	101807	0.985922389521
chloroplast	CY_BAL	KIRN	3	9	572.194444444	575.388888889	101807	0.994448199286
chloroplast	CY_BAL	KIRT	3	10	573	574.5	101770	0.997389033943
chloroplast	CY_BAL	MALV	3	10	577.733333333	580.3	101807	0.995577000402
chloroplast	CY_BAL	OCO	3	10	281.066666667	291.7	101732	0.963547023197
chloroplast	CY_BAL	QUI1	3	9	532	533.5	101795	0.997188378632
chloroplast	CY_BAL	QUI2	3	10	582.188888889	584.144444444	101806	0.996652273981
chloroplast	CY_BAL	QUIN	3	9	583.357142857	585.428571429	101805	0.996461688629
chloroplast	CY_BAL	RIC	3	9	578	580.388888889	101806	0.995883985833
chloroplast	CY_BAL	RSV	3	8	575.5	578.95	101805	0.994040936178
chloroplast	CY_BAL	SILG	3	9	575.888888889	583.422222222	101788	0.987087681877
chloroplast	CY_BAL	SILR	3	6	580.133333333	587.333333333	101806	0.987741203178
chloroplast	CY_BAL	STI	3	16	577.307900433	583.397510823	101806	0.989561816297
chloroplast	CY_BAL	TIL	3	9	570.916666667	582.753968254	101806	0.979687308483
chloroplast	CY_BAL	TULP	3	17	576.092226891	584.123529412	101807	0.986250677953
chloroplast	CY_BGL	CY_BOU	2	5	521	543	102569	0.959484346225
chloroplast	CY_BGL	CY_CAS	2	5	377.9	506.7	101864	0.745806196961
chloroplast	CY_BGL	CY_HICN	2	3	445	467.666666667	101318	0.951532430506
chloroplast	CY_BGL	CY_HICS	2	5	517.166666667	539.5	102475	0.958603645351
chloroplast	CY_BGL	CY_HUN	2	5	262.1	284.55	101794	0.921103496749
chloroplast	CY_BGL	CY_SIE	2	3	268	491.666666667	102541	0.545084745763
chloroplast	CY_BGL	CY_WOO	2	4	520	542.5	101791	0.958525345622
chloroplast	CY_BGL	DAN	2	5	562.8	586.6	102501	0.959427207637
chloroplast	CY_BGL	DOV	2	7	558.528571429	581.257142857	102585	0.960897561935
chloroplast	CY_BGL	DUD	2	8	555.285714286	584	102595	0.950831702544
chloroplast	CY_BGL	KIRN	2	9	552.972222222	576.666666667	102560	0.958911368015
chloroplast	CY_BGL	KIRT	2	10	554	576	102470	0.961805555556
chloroplast	CY_BGL	MALV	2	10	557.733333333	580.8	102595	0.96028466483
chloroplast	CY_BGL	OCO	2	10	266.466666667	297.6	101932	0.895385304659
chloroplast	CY_BGL	QUI1	2	9	514	536	102147	0.958955223881
chloroplast	CY_BGL	QUI2	2	10	562.188888889	584.644444444	102449	0.961591090501
chloroplast	CY_BGL	QUIN	2	9	563.357142857	585.928571429	102506	0.961477508229
chloroplast	CY_BGL	RIC	2	9	558	580.888888889	102540	0.960596786534
chloroplast	CY_BGL	RSV	2	8	556.5	580.45	102592	0.958738909467
chloroplast	CY_BGL	SILG	2	9	555.888888889	583.922222222	102488	0.951991323045
chloroplast	CY_BGL	SILR	2	6	560.133333333	587.833333333	102593	0.95287779983
chloroplast	CY_BGL	STI	2	16	557.307900433	583.897510823	102593	0.954461853499
chloroplast	CY_BGL	TIL	2	9	550.916666667	583.253968254	102594	0.944557082596
chloroplast	CY_BGL	TULP	2	17	556.092226891	584.623529412	102595	0.95119713613
chloroplast	CY_BOU	CY_CAS	5	5	39.1	146.1	102017	0.267624914442
chloroplast	CY_BOU	CY_HICN	5	3	607	607.666666667	101435	0.998902907296
chloroplast	CY_BOU	CY_HICS	5	5	15.1666666667	15.5	102782	0.978494623656
chloroplast	CY_BOU	CY_HUN	5	5	624.1	624.55	101909	0.999279481226
chloroplast	CY_BOU	CY_SIE	5	3	227	428.666666667	103519	0.529548989114
chloroplast	CY_BOU	CY_WOO	5	4	67	67.5	101976	0.992592592593
chloroplast	CY_BOU	DAN	5	5	175.8	177.6	103484	0.989864864865
chloroplast	CY_BOU	DOV	5	7	163.528571429	164.257142857	103571	0.995564445991
chloroplast	CY_BOU	DUD	5	8	172.785714286	179.625	103538	0.961924644597
chloroplast	CY_BOU	KIRN	5	9	170.305555556	172	103567	0.990148578811
chloroplast	CY_BOU	KIRT	5	10	172	172	103474	1
chloroplast	CY_BOU	MALV	5	10	172.733333333	173.8	103581	0.993862677407
chloroplast	CY_BOU	OCO	5	10	630.114285714	639.652380952	102027	0.985088627007
chloroplast	CY_BOU	QUI1	5	9	49	49	102340	1
chloroplast	CY_BOU	QUI2	5	10	173.188888889	173.644444444	102830	0.997376503711
chloroplast	CY_BOU	QUIN	5	9	174.357142857	174.928571429	103514	0.996733360555
chloroplast	CY_BOU	RIC	5	9	173	173.888888889	103546	0.994888178914
chloroplast	CY_BOU	RSV	5	8	170.5	172.45	103579	0.988692374601
chloroplast	CY_BOU	SILG	5	9	160.888888889	166.922222222	103071	0.963855421687
chloroplast	CY_BOU	SILR	5	6	173.133333333	178.833333333	103531	0.968126747437
chloroplast	CY_BOU	STI	5	16	162.920021645	167.509632035	103580	0.972600916533
chloroplast	CY_BOU	TIL	5	9	162.583333333	172.920634921	103007	0.940219386818
chloroplast	CY_BOU	TULP	5	17	171.911344538	178.552941176	103581	0.962803207862
chloroplast	CY_CAS	CY_HICN	5	3	412.366666667	520.033333333	101367	0.792961989616
chloroplast	CY_CAS	CY_HICS	5	5	36.0666666667	143.4	102018	0.251510925151
chloroplast	CY_CAS	CY_HUN	5	5	479.6	587.05	101770	0.816966186867
chloroplast	CY_CAS	CY_SIE	5	3	91.8333333333	400.166666667	101977	0.229487713453
chloroplast	CY_CAS	CY_WOO	5	4	57.1	164.6	101829	0.346901579587
chloroplast	CY_CAS	DAN	5	5	143.5	252.3	101985	0.568767340468
chloroplast	CY_CAS	DOV	5	7	140.428571429	248.157142857	102010	0.565885671522
chloroplast	CY_CAS	DUD	5	8	140.485714286	254.325	102020	0.552386569491
chloroplast	CY_CAS	KIRN	5	9	136.45	245.144444444	102020	0.556610615057
chloroplast	CY_CAS	KIRT	5	10	137.7	244.7	101953	0.562729873314
chloroplast	CY_CAS	MALV	5	10	140.433333333	248.5	102020	0.5651240778
chloroplast	CY_CAS	OCO	5	10	485.454285714	601.992380952	101867	0.806412674104
chloroplast	CY_CAS	QUI1	5	9	34.7	141.7	101976	0.24488355681
chloroplast	CY_CAS	QUI2	5	10	141.688888889	249.144444444	101995	0.568701779423
chloroplast	CY_CAS	QUIN	5	9	142.857142857	250.428571429	101993	0.570450656018
chloroplast	CY_CAS	RIC	5	9	140.7	248.588888889	102019	0.565994725786
chloroplast	CY_CAS	RSV	5	8	137	245.95	102018	0.557023785322
chloroplast	CY_CAS	SILG	5	9	137.788888889	250.822222222	101973	0.549348808364
chloroplast	CY_CAS	SILR	5	6	140.833333333	253.533333333	102019	0.555482513805
chloroplast	CY_CAS	STI	5	16	136.157900433	247.747510823	102019	0.549583323687
chloroplast	CY_CAS	TIL	5	9	131.038888889	248.376190476	102019	0.527582328393
chloroplast	CY_CAS	TULP	5	17	141.211344538	254.852941176	102020	0.55408952271
