organelle	track_id	sample_count	alignment_sites	population_count	pairwise_comparison_count	pairwise_fst_path	population_summary_path
cpDNA	cpdna_population_sites	278	2022	35	595	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/17_population_genetics/cpDNA.primary.population_genetics.pairwise_fst.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/17_population_genetics/cpDNA.primary.population_genetics.population_summary.tsv
mtDNA	mtdna_high_confidence_unique	278	146	35	595	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/17_population_genetics/mtDNA.primary.population_genetics.pairwise_fst.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/17_population_genetics/mtDNA.primary.population_genetics.population_summary.tsv
