organelle	track_id	sample_count	raw_records	filtered_records	raw_vcf_path	filtered_vcf_path	filtered_vcf_index_path	log_path
cpDNA	cpdna_population_sites	278	2531	2022	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/cpDNA.primary.raw.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz.tbi	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/cpDNA.primary.filtered.bcftools.log
mtDNA	mtdna_high_confidence_unique	278	192	146	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/08_variant_calling/mtDNA.primary.raw.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz.tbi	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/mtDNA.primary.filtered.bcftools.log
