organelle	track_id	sample_count	tip_count	alignment_sites	method	model	treefile_path	png_path	pdf_path	svg_path	figure_width	figure_height
cpDNA	cpdna_population_sites	275	275	124538	iqtree_ml_ufboot1000	GTR+F+G4	dudleya_organelle_alignment_pipeline/results/19_bootstrap_phylogenetic_tree/cpDNA.primary.iqtree_ml.treefile	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/cpDNA.primary.iqtree_ml_tree.png	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/cpDNA.primary.iqtree_ml_tree.pdf	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/cpDNA.primary.iqtree_ml_tree.svg	14.00	46.00
mtDNA	mtdna_high_confidence_unique	275	275	44930	iqtree_ml_ufboot1000	GTR+F+G4	dudleya_organelle_alignment_pipeline/results/19_bootstrap_phylogenetic_tree/mtDNA.primary.iqtree_ml.treefile	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/mtDNA.primary.iqtree_ml_tree.png	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/mtDNA.primary.iqtree_ml_tree.pdf	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/mtDNA.primary.iqtree_ml_tree.svg	14.00	46.00
