sample_id	read_path	plate_well	specimen	demultiplex_sample	lane
STI_LP_033_Du-51	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_033_Du-51_S80_L005_R2_001.fastq.gz	LP_033	Du-51	S80	L005
STI_LP_034_Du-52	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_034_Du-52_S101_L005_R1_001.fastq.gz	LP_034	Du-52	S101	L005
STI_LP_034_Du-52	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_034_Du-52_S101_L005_R2_001.fastq.gz	LP_034	Du-52	S101	L005
STI_LP_035_Du-53	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_035_Du-53_S49_L005_R1_001.fastq.gz	LP_035	Du-53	S49	L005
STI_LP_035_Du-53	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_035_Du-53_S49_L005_R2_001.fastq.gz	LP_035	Du-53	S49	L005
STI_LP_036_Du-54	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_036_Du-54_S60_L005_R1_001.fastq.gz	LP_036	Du-54	S60	L005
STI_LP_036_Du-54	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_036_Du-54_S60_L005_R2_001.fastq.gz	LP_036	Du-54	S60	L005
STI_LP_037_Du-55	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_037_Du-55_S70_L005_R1_001.fastq.gz	LP_037	Du-55	S70	L005
STI_LP_037_Du-55	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_037_Du-55_S70_L005_R2_001.fastq.gz	LP_037	Du-55	S70	L005
STI_LP_038_Du-56	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_038_Du-56_S81_L005_R1_001.fastq.gz	LP_038	Du-56	S81	L005
STI_LP_038_Du-56	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_038_Du-56_S81_L005_R2_001.fastq.gz	LP_038	Du-56	S81	L005
STI_LP_039_Du-57	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_039_Du-57_S90_L005_R1_001.fastq.gz	LP_039	Du-57	S90	L005
STI_LP_039_Du-57	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_039_Du-57_S90_L005_R2_001.fastq.gz	LP_039	Du-57	S90	L005
STI_LP_040_Du-58	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_040_Du-58_S102_L005_R1_001.fastq.gz	LP_040	Du-58	S102	L005
STI_LP_040_Du-58	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_040_Du-58_S102_L005_R2_001.fastq.gz	LP_040	Du-58	S102	L005
STI_LP_041_Du-60	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_041_Du-60_S29_L005_R1_001.fastq.gz	LP_041	Du-60	S29	L005
STI_LP_041_Du-60	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_041_Du-60_S29_L005_R2_001.fastq.gz	LP_041	Du-60	S29	L005
STI_LP_042_Du-61	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_042_Du-61_S39_L005_R1_001.fastq.gz	LP_042	Du-61	S39	L005
STI_LP_042_Du-61	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/STI/STI_LP_042_Du-61_S39_L005_R2_001.fastq.gz	LP_042	Du-61	S39	L005
TIL_LP_123_Du-263	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_123_Du-263_S112_L005_R1_001.fastq.gz	LP_123	Du-263	S112	L005
TIL_LP_123_Du-263	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_123_Du-263_S112_L005_R2_001.fastq.gz	LP_123	Du-263	S112	L005
TIL_LP_124_Du-264	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_124_Du-264_S121_L005_R1_001.fastq.gz	LP_124	Du-264	S121	L005
TIL_LP_124_Du-264	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_124_Du-264_S121_L005_R2_001.fastq.gz	LP_124	Du-264	S121	L005
TIL_LP_125_Du-265	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_125_Du-265_S132_L005_R1_001.fastq.gz	LP_125	Du-265	S132	L005
TIL_LP_125_Du-265	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_125_Du-265_S132_L005_R2_001.fastq.gz	LP_125	Du-265	S132	L005
TIL_LP_126_Du-266	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_126_Du-266_S141_L005_R1_001.fastq.gz	LP_126	Du-266	S141	L005
TIL_LP_126_Du-266	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_126_Du-266_S141_L005_R2_001.fastq.gz	LP_126	Du-266	S141	L005
TIL_LP_127_Du-267	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_127_Du-267_S152_L005_R1_001.fastq.gz	LP_127	Du-267	S152	L005
TIL_LP_127_Du-267	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_127_Du-267_S152_L005_R2_001.fastq.gz	LP_127	Du-267	S152	L005
TIL_LP_128_Du-268	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_128_Du-268_S162_L005_R1_001.fastq.gz	LP_128	Du-268	S162	L005
TIL_LP_128_Du-268	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_128_Du-268_S162_L005_R2_001.fastq.gz	LP_128	Du-268	S162	L005
TIL_LP_129_Du-269	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_129_Du-269_S173_L005_R1_001.fastq.gz	LP_129	Du-269	S173	L005
TIL_LP_129_Du-269	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_129_Du-269_S173_L005_R2_001.fastq.gz	LP_129	Du-269	S173	L005
TIL_LP_130_Du-271	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_130_Du-271_S184_L005_R1_001.fastq.gz	LP_130	Du-271	S184	L005
TIL_LP_130_Du-271	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_130_Du-271_S184_L005_R2_001.fastq.gz	LP_130	Du-271	S184	L005
TIL_LP_131_Du-272	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_131_Du-272_S113_L005_R1_001.fastq.gz	LP_131	Du-272	S113	L005
TIL_LP_131_Du-272	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TIL/TIL_LP_131_Du-272_S113_L005_R2_001.fastq.gz	LP_131	Du-272	S113	L005
TULP_LP_115_Du-242	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_115_Du-242_S199_L005_R1_001.fastq.gz	LP_115	Du-242	S199	L005
TULP_LP_115_Du-242	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_115_Du-242_S199_L005_R2_001.fastq.gz	LP_115	Du-242	S199	L005
TULP_LP_116_Du-243	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_116_Du-243_S200_L005_R1_001.fastq.gz	LP_116	Du-243	S200	L005
TULP_LP_116_Du-243	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_116_Du-243_S200_L005_R2_001.fastq.gz	LP_116	Du-243	S200	L005
TULP_LP_117_Du-244	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_117_Du-244_S201_L005_R1_001.fastq.gz	LP_117	Du-244	S201	L005
TULP_LP_117_Du-244	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_117_Du-244_S201_L005_R2_001.fastq.gz	LP_117	Du-244	S201	L005
TULP_LP_118_Du-245	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_118_Du-245_S202_L005_R1_001.fastq.gz	LP_118	Du-245	S202	L005
TULP_LP_118_Du-245	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_118_Du-245_S202_L005_R2_001.fastq.gz	LP_118	Du-245	S202	L005
TULP_LP_119_Du-246	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_119_Du-246_S203_L005_R1_001.fastq.gz	LP_119	Du-246	S203	L005
TULP_LP_119_Du-246	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_119_Du-246_S203_L005_R2_001.fastq.gz	LP_119	Du-246	S203	L005
TULP_LP_120_Du-248	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_120_Du-248_S204_L005_R1_001.fastq.gz	LP_120	Du-248	S204	L005
TULP_LP_120_Du-248	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_120_Du-248_S204_L005_R2_001.fastq.gz	LP_120	Du-248	S204	L005
TULP_LP_121_Du-249	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_121_Du-249_S196_L005_R1_001.fastq.gz	LP_121	Du-249	S196	L005
TULP_LP_121_Du-249	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_121_Du-249_S196_L005_R2_001.fastq.gz	LP_121	Du-249	S196	L005
TULP_LP_122_Du-250	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_122_Du-250_S198_L005_R1_001.fastq.gz	LP_122	Du-250	S198	L005
TULP_LP_122_Du-250	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_122_Du-250_S198_L005_R2_001.fastq.gz	LP_122	Du-250	S198	L005
TULP_LP_140_Du-302	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_140_Du-302_S123_L005_R1_001.fastq.gz	LP_140	Du-302	S123	L005
TULP_LP_140_Du-302	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_140_Du-302_S123_L005_R2_001.fastq.gz	LP_140	Du-302	S123	L005
TULP_LP_141_Du-303	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_141_Du-303_S143_L005_R1_001.fastq.gz	LP_141	Du-303	S143	L005
TULP_LP_141_Du-303	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_141_Du-303_S143_L005_R2_001.fastq.gz	LP_141	Du-303	S143	L005
TULP_LP_142_Du-304	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_142_Du-304_S144_L005_R1_001.fastq.gz	LP_142	Du-304	S144	L005
TULP_LP_142_Du-304	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_142_Du-304_S144_L005_R2_001.fastq.gz	LP_142	Du-304	S144	L005
TULP_LP_143_Du-305	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_143_Du-305_S154_L005_R1_001.fastq.gz	LP_143	Du-305	S154	L005
TULP_LP_143_Du-305	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_143_Du-305_S154_L005_R2_001.fastq.gz	LP_143	Du-305	S154	L005
TULP_LP_144_Du-306	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_144_Du-306_S164_L005_R1_001.fastq.gz	LP_144	Du-306	S164	L005
TULP_LP_144_Du-306	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_144_Du-306_S164_L005_R2_001.fastq.gz	LP_144	Du-306	S164	L005
TULP_LP_145_Du-307	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_145_Du-307_S175_L005_R1_001.fastq.gz	LP_145	Du-307	S175	L005
TULP_LP_145_Du-307	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_145_Du-307_S175_L005_R2_001.fastq.gz	LP_145	Du-307	S175	L005
TULP_LP_146_Du-308	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_146_Du-308_S186_L005_R1_001.fastq.gz	LP_146	Du-308	S186	L005
TULP_LP_146_Du-308	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_146_Du-308_S186_L005_R2_001.fastq.gz	LP_146	Du-308	S186	L005
TULP_LP_147_Du-309	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_147_Du-309_S115_L005_R1_001.fastq.gz	LP_147	Du-309	S115	L005
TULP_LP_147_Du-309	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_147_Du-309_S115_L005_R2_001.fastq.gz	LP_147	Du-309	S115	L005
TULP_LP_148_Du-310	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_148_Du-310_S124_L005_R1_001.fastq.gz	LP_148	Du-310	S124	L005
TULP_LP_148_Du-310	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/TULP/TULP_LP_148_Du-310_S124_L005_R2_001.fastq.gz	LP_148	Du-310	S124	L005
