sample_id	read_path	plate_well	specimen	demultiplex_sample	lane
ABAB_MAD_LP_326_Du-597	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R1_001.fastq.gz	LP_326	Du-597	S222	L005
ABAB_MAD_LP_326_Du-597	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R2_001.fastq.gz	LP_326	Du-597	S222	L005
ABAB_MAD_LP_327_Du-598	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R1_001.fastq.gz	LP_327	Du-598	S233	L005
ABAB_MAD_LP_327_Du-598	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R2_001.fastq.gz	LP_327	Du-598	S233	L005
ABBE_BERN_LP_311_Du-780	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R1_001.fastq.gz	LP_311	Du-780	S261	L005
ABBE_BERN_LP_311_Du-780	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R2_001.fastq.gz	LP_311	Du-780	S261	L005
ABBE_BERN_LP_312_Du-781	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R1_001.fastq.gz	LP_312	Du-781	S271	L005
ABBE_BERN_LP_312_Du-781	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R2_001.fastq.gz	LP_312	Du-781	S271	L005
ABBE_BERN_LP_313_Du-782	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R1_001.fastq.gz	LP_313	Du-782	S280	L005
ABBE_BERN_LP_313_Du-782	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R2_001.fastq.gz	LP_313	Du-782	S280	L005
ABBE_BERN_LP_314_Du-783	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_314_Du-783_S291_L005_R1_001.fastq.gz	LP_314	Du-783	S291	L005
