organelle	track_id	sample_count	alignment_sites	retained_sites	missing_bases	pc1_variance	pc2_variance	alignment_fasta_path	coordinates_path	variance_path	png_path	pdf_path	svg_path
cpDNA	cpdna_population_sites	275	2015	2015	252	0.36615274	0.14646376	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/cpDNA.primary.snp_alignment.fa	dudleya_organelle_alignment_pipeline/results/15_pca/cpDNA.primary.pca.coordinates.tsv	dudleya_organelle_alignment_pipeline/results/15_pca/cpDNA.primary.pca.variance.tsv	dudleya_organelle_alignment_pipeline/results/15_pca/cpDNA.primary.pca.png	dudleya_organelle_alignment_pipeline/results/15_pca/cpDNA.primary.pca.pdf	dudleya_organelle_alignment_pipeline/results/15_pca/cpDNA.primary.pca.svg
mtDNA	mtdna_high_confidence_unique	275	146	146	349	0.34481415	0.14058833	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/mtDNA.primary.snp_alignment.fa	dudleya_organelle_alignment_pipeline/results/15_pca/mtDNA.primary.pca.coordinates.tsv	dudleya_organelle_alignment_pipeline/results/15_pca/mtDNA.primary.pca.variance.tsv	dudleya_organelle_alignment_pipeline/results/15_pca/mtDNA.primary.pca.png	dudleya_organelle_alignment_pipeline/results/15_pca/mtDNA.primary.pca.pdf	dudleya_organelle_alignment_pipeline/results/15_pca/mtDNA.primary.pca.svg
