organelle	track_id	sample_count	alignment_sites	missing_bases	method	model	alignment_fasta_path	treefile_path	log_path	iqtree_report_path
cpDNA	cpdna_population_sites	278	124538	347258	iqtree_ml_ufboot1000	GTR+F+G4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/11_callable_consensus/cpDNA.primary.callable_consensus.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/19_bootstrap_phylogenetic_tree/cpDNA.primary.iqtree_ml.treefile	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/19_bootstrap_phylogenetic_tree/cpDNA.primary.iqtree_ml.log	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/19_bootstrap_phylogenetic_tree/cpDNA.primary.iqtree_ml.iqtree
mtDNA	mtdna_high_confidence_unique	278	44930	152444	iqtree_ml_ufboot1000	GTR+F+G4	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/11_callable_consensus/mtDNA.primary.callable_consensus.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/19_bootstrap_phylogenetic_tree/mtDNA.primary.iqtree_ml.treefile	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/19_bootstrap_phylogenetic_tree/mtDNA.primary.iqtree_ml.log	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/19_bootstrap_phylogenetic_tree/mtDNA.primary.iqtree_ml.iqtree
