sample_id	repeat_mask_mean_depth	unique_sites_mean_depth	repeat_to_unique_mean_depth_ratio	interpretation
CROB_LP_177_Du-389	1.05453499	144.53524932	0.00729604	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROB_LP_320_Du-395	0.48030822	83.47804629	0.00575371	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROB_LP_321_Du-396	0.77745466	124.11278931	0.00626410	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_085_Du-181	1.34124094	224.59264381	0.00597188	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_086_Du-182	2.39729872	311.98795950	0.00768395	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_087_Du-183	0.82374931	97.40899421	0.00845660	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_088_Du-184	2.74614848	481.22796120	0.00570654	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_089_Du-185	3.55561214	435.05428863	0.00817280	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_090_Du-186	2.86360141	403.66652485	0.00709398	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_091_Du-187	2.12037626	326.80820286	0.00648814	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_092_Du-188	0.68437645	108.27561266	0.00632069	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_093_Du-189	2.15733049	313.97017529	0.00687113	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CROS_LP_094_Du-190	1.19411666	178.51425289	0.00668920	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_ALA_LP_298-Du-767	0.28006987	70.20590112	0.00398926	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_ALA_LP_299-Du-768	0.36702130	85.72847175	0.00428121	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_ALA_LP_357_Du-769	0.89663409	186.51284888	0.00480736	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BAL_LP_226_Du-602	0.19692286	45.04673673	0.00437152	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BAL_LP_227_Du-603	0.06120162	13.76289142	0.00444686	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BGL_LP_210_Du-577	0.68494176	144.26872022	0.00474768	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BGL_LP_212_Du-579	0.19983092	40.82186011	0.00489519	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
