sample_id	repeat_mask_mean_depth	unique_sites_mean_depth	repeat_to_unique_mean_depth_ratio	interpretation
QUIN_LP_076_Du-162	0.81640022	132.84155888	0.00614567	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_077_Du-163	7.15048561	977.40229323	0.00731581	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
QUIN_LP_318_Du-164	0.14674741	29.55105514	0.00496589	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_192_Du-521	0.79525951	131.53535568	0.00604598	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_193_Du-522	0.64865471	119.27403846	0.00543836	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_194_Du-523	2.70356148	507.38869980	0.00532838	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_195_Du-524	1.05153526	199.71000681	0.00526531	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_196_Du-525	2.06402819	390.79682182	0.00528159	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_197_Du-526	0.11013950	22.55622447	0.00488289	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_198_Du-527	2.69669622	362.83724047	0.00743225	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_199_Du-528	2.94770080	483.08498553	0.00610183	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_200_Du-529	4.78907161	682.17528931	0.00702029	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RIC_LP_201_Du-530	2.75289660	396.26518890	0.00694711	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_049_Du-85	1.87048194	284.17522549	0.00658214	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_050_Du-87	4.05366410	670.96953710	0.00604150	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_051_Du-88	0.08825012	21.37857386	0.00412797	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_052_Du-89	1.00792968	171.43930820	0.00587922	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_053_Du-90	1.61482244	267.46989874	0.00603740	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_055_Du-92	0.21259887	36.54148230	0.00581801	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_057_Du-94	0.44786632	62.37608492	0.00718010	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_315_Du-95	0.73526491	130.68705327	0.00562615	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
RSV_LP_316_Du-96	0.24036547	40.54620490	0.00592819	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_149_Du-343	0.06964569	13.62634020	0.00511111	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_150_Du-344	0.09023636	18.36325732	0.00491396	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_151_Du-345	0.15248203	24.79188649	0.00615048	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_152_Du-346	0.14345738	22.16414227	0.00647250	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_153_Du-347	0.09890961	16.94471154	0.00583720	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_154_Du-348	0.40592103	81.45028506	0.00498367	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_155_Du-349	0.09687244	20.12597856	0.00481330	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_156_Du-350	0.16378832	26.77276208	0.00611772	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_157_Du-351	0.04136470	7.45647549	0.00554749	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILG_LP_158_Du-352	0.03413275	10.86361896	0.00314193	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILR_LP_346_Du-729	0.68142255	142.24255446	0.00479057	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILR_LP_347_Du-730	1.50853319	235.33309224	0.00641020	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILR_LP_348_Du-731	0.60078635	126.33245405	0.00475560	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILR_LP_349_Du-732	1.32169941	289.43533016	0.00456648	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILR_LP_351_Du-734	1.13898070	237.52482556	0.00479521	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
SILR_LP_353_Du-736	0.28086437	64.79337560	0.00433477	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_027_Du-45	0.08622823	16.00595643	0.00538726	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_028_Du-46	0.23454935	39.94222260	0.00587222	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_029_Du-47	0.03949560	7.58528336	0.00520687	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_030_Du-48	0.19957627	42.22964176	0.00472598	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_031_Du-49	0.25735036	57.65112321	0.00446393	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_032_Du-50	0.18417019	43.97298332	0.00418826	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_033_Du-51	0.05441276	14.86253404	0.00366107	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_034_Du-52	0.32950176	71.16743958	0.00462995	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_035_Du-53	0.50746877	80.49642614	0.00630424	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_036_Du-54	0.11189655	20.69771103	0.00540623	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_037_Du-55	0.37504775	54.38029697	0.00689676	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_038_Du-56	0.42405692	64.35649251	0.00658919	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_039_Du-57	0.23456972	45.01657165	0.00521074	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_040_Du-58	0.04321343	13.90256978	0.00310831	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_041_Du-60	4.16312624	1151.15373979	0.00361648	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
STI_LP_042_Du-61	0.45321898	92.07449796	0.00492231	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_123_Du-263	0.04920270	9.29222686	0.00529504	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_124_Du-264	0.35366767	81.97311096	0.00431444	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_125_Du-265	0.04642706	9.23942733	0.00502489	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_126_Du-266	0.09099011	19.70177417	0.00461837	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_128_Du-268	0.50963835	98.90644146	0.00515273	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_129_Du-269	0.13587402	28.92945882	0.00469674	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_130_Du-271	0.73135355	146.61095984	0.00498840	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TIL_LP_131_Du-272	0.18235201	39.39933628	0.00462830	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_115_Du-242	1.05913390	146.92888445	0.00720848	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_116_Du-243	2.29011311	365.59415419	0.00626409	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_117_Du-244	0.22825960	30.44917886	0.00749641	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_118_Du-245	2.97567621	421.12734003	0.00706598	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_119_Du-246	2.50518714	344.28327093	0.00727653	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_120_Du-248	3.68695856	496.78926991	0.00742157	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_121_Du-249	0.50276800	69.76935841	0.00720614	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_122_Du-250	1.64109172	232.56856280	0.00705638	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_140_Du-302	0.17641876	41.90427161	0.00421004	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_141_Du-303	0.19270592	31.80620320	0.00605875	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_142_Du-304	0.07280839	14.93316031	0.00487562	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_143_Du-305	0.09456025	18.53056926	0.00510293	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_144_Du-306	0.07519697	13.40284632	0.00561052	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_145_Du-307	0.11906229	21.42873553	0.00555620	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_146_Du-308	0.07949030	12.98608747	0.00612119	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_147_Du-309	0.67375262	127.75716899	0.00527370	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
TULP_LP_148_Du-310	0.11685196	21.20575221	0.00551039	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
