organelle	track_id	sample_count	source_site_count	retained_site_count	dropped_site_count	haplotype_count	edge_count	species_group_count	method	input_fasta_path	site_table_path	metadata_table_path	assignments_path	haplotype_summary_path	edges_path	layout_path	png_path	pdf_path	svg_path	popart_nexus_path
cpDNA	cpdna_population_sites	275	2015	1977	38	151	6708	6	pegas::haploNet	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network_input.fa	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network_sites.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network_metadata.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_assignments.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_summary.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network_edges.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network_layout.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network.png	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network.pdf	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.haplotype_network.svg	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/cpDNA.primary.popart.nex
mtDNA	mtdna_high_confidence_unique	275	146	116	30	58	803	6	pegas::haploNet	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network_input.fa	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network_sites.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network_metadata.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_assignments.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_summary.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network_edges.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network_layout.tsv	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network.png	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network.pdf	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.haplotype_network.svg	dudleya_organelle_alignment_pipeline/results/21_haplotype_network/mtDNA.primary.popart.nex
