organelle	track_id	sample_count	alignment_sites	population_count	pairwise_comparison_count	pairwise_fst_path	population_summary_path
cpDNA	cpdna_population_sites	275	2015	34	561	dudleya_organelle_alignment_pipeline/results/17_population_genetics/cpDNA.primary.population_genetics.pairwise_fst.tsv	dudleya_organelle_alignment_pipeline/results/17_population_genetics/cpDNA.primary.population_genetics.population_summary.tsv
mtDNA	mtdna_high_confidence_unique	275	146	34	561	dudleya_organelle_alignment_pipeline/results/17_population_genetics/mtDNA.primary.population_genetics.pairwise_fst.tsv	dudleya_organelle_alignment_pipeline/results/17_population_genetics/mtDNA.primary.population_genetics.population_summary.tsv
