organelle	track_id	sample_count	filtered_records	alignment_sites	missing_bases	filtered_vcf_path	alignment_fasta_path	site_table_path
cpDNA	cpdna_population_sites	278	2022	2022	3698	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/10_snp_alignment/cpDNA.primary.snp_alignment.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/10_snp_alignment/cpDNA.primary.snp_sites.tsv
mtDNA	mtdna_high_confidence_unique	278	146	146	748	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/10_snp_alignment/mtDNA.primary.snp_alignment.fa	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/10_snp_alignment/mtDNA.primary.snp_sites.tsv
