haplotype_1	haplotype_2	mutational_distance
H1	H41	32
H10	H11	1
H10	H12	1
H10	H13	4
H10	H17	5
H10	H25	6
H10	H31	5
H10	H33	18
H10	H34	2
H10	H39	23
H10	H8	3
H10	H9	2
H13	H15	1
H13	H16	5
H13	H21	1
H13	H5	7
H14	H15	1
H16	H6	2
H17	H18	1
H17	H30	1
H19	H22	1
H2	H3	2
H2	H4	2
H20	H21	1
H21	H22	2
H22	H23	1
H24	H26	4
H25	H26	1
H25	H27	1
H25	H28	2
H25	H29	3
H25	H4	3
H31	H36	3
H31	H7	1
H32	H33	6
H34	H35	1
H37	H38	4
H38	H39	20
H39	H41	2
H40	H41	1
