sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	118039244	21215857	20842.575828	3132097240	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-297.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-297.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	118039244	1557117	933.173398	227096145	243359	1.000000	243359	1.000000	243358	0.999996	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-297.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-297.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	122821078	19016884	18598.518047	2794873701	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-443.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	122821078	1508805	898.015220	218540086	242893	0.998085	242881	0.998036	242870	0.997991	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-443.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	114738526	20893200	20489.394286	3079023237	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-4A.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	114738526	2218535	1331.635189	324065408	243359	1.000000	243359	1.000000	243358	0.999996	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-4A.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	80007888	9392608	8634.017428	1297468335	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU014LP012.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	80007888	939016	537.615864	130833659	235934	0.969490	230410	0.946791	230182	0.945854	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU014LP012.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	52892182	11973911	11546.613180	1735155749	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU037LP013.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU037LP013.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU037LP013.depth.tsv
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	52892182	600750	355.209333	86443388	231989	0.953279	230040	0.945270	229917	0.944765	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU037LP013.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU037LP013.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU037LP013.depth.tsv
