sample_id	batch	naming_profile	species	popcode	input_read_records	total_organelle_mapped_reads	input_organelle_mapping_fraction	chloroplast_mapped_reads	mitochondria_mapped_reads	chloroplast_fraction_of_organelle_mapped	mitochondria_fraction_of_organelle_mapped	chloroplast_mean_depth	mitochondria_mean_depth	chloroplast_breadth_ge_1x	mitochondria_breadth_ge_1x	chloroplast_breadth_ge_5x	mitochondria_breadth_ge_5x	chloroplast_breadth_ge_10x	mitochondria_breadth_ge_10x	qc_notes
QUIN_LP_071_Du-157	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	4101450	860986	0.209922	791344	69642	0.919114	0.080886	634.278378	33.445231	1.000000	0.995866	0.999987	0.994888	0.999920	0.991510	pass_initial_mapping_screen
QUIN_LP_072_Du-158	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	5939438	1061108	0.178655	973747	87361	0.917670	0.082330	683.950397	36.479756	0.999993	0.995969	0.999973	0.995398	0.999960	0.993051	pass_initial_mapping_screen
QUIN_LP_073_Du-159	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	7054714	1372832	0.194598	1163361	209471	0.847417	0.152583	969.589556	104.695290	1.000000	0.996076	0.999973	0.995657	0.999967	0.995369	pass_initial_mapping_screen
QUIN_LP_074_Du-160	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	2795802	680517	0.243407	620504	60013	0.911813	0.088187	522.402372	30.391623	1.000000	0.995402	0.999980	0.994539	0.999900	0.988848	pass_initial_mapping_screen
QUIN_LP_075_Du-161	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	22335942	4954364	0.221811	4587924	366440	0.926037	0.073963	4479.043414	217.790047	1.000000	0.995636	1.000000	0.995328	1.000000	0.995279	pass_initial_mapping_screen
QUIN_LP_076_Du-162	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	16306648	2921415	0.179155	2721668	199747	0.931627	0.068373	2602.058899	116.203099	1.000000	0.995669	1.000000	0.995283	0.999993	0.995118	pass_initial_mapping_screen
QUIN_LP_077_Du-163	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	23106856	5490239	0.237602	4137479	1352760	0.753606	0.246394	4023.212053	805.837051	1.000000	0.995915	1.000000	0.995562	1.000000	0.995373	pass_initial_mapping_screen
QUIN_LP_318_Du-164	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUIN	2015280	378924	0.188025	328914	50010	0.868021	0.131979	300.185654	27.354390	0.999993	0.995480	0.999927	0.994666	0.999694	0.985495	pass_initial_mapping_screen
RIC_LP_192_Du-521	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	10344072	2787816	0.269509	2572992	214824	0.922942	0.077058	2128.426694	118.180828	1.000000	1.000000	1.000000	0.999955	0.999993	0.999844	pass_initial_mapping_screen
RIC_LP_193_Du-522	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	10253624	2433332	0.237314	2241012	192320	0.920964	0.079036	1852.663721	105.294281	1.000000	1.000000	1.000000	0.999930	0.999993	0.999864	pass_initial_mapping_screen
RIC_LP_194_Du-523	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	33305170	7784748	0.233740	6936069	848679	0.890982	0.109018	5929.964618	466.463603	1.000000	0.999996	1.000000	0.999979	1.000000	0.999971	pass_initial_mapping_screen
RIC_LP_195_Du-524	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	19599160	3171719	0.161829	2804123	367596	0.884102	0.115898	2339.192255	193.218126	1.000000	0.999979	0.999993	0.999963	0.999987	0.999942	pass_initial_mapping_screen
RIC_LP_196_Du-525	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	22415078	5242982	0.233904	4538541	704441	0.865641	0.134359	3894.198338	378.819698	1.000000	0.999996	1.000000	0.999971	0.999987	0.999963	pass_initial_mapping_screen
RIC_LP_197_Du-526	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	2718266	554754	0.204084	507518	47236	0.914852	0.085148	369.910330	22.678993	1.000000	0.999893	0.999967	0.998213	0.999940	0.959295	pass_initial_mapping_screen
RIC_LP_198_Du-527	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	27783708	5626592	0.202514	5101049	525543	0.906597	0.093403	4746.180830	307.823191	1.000000	1.000000	1.000000	0.999979	0.999993	0.999947	pass_initial_mapping_screen
RIC_LP_199_Du-528	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	43118740	4920045	0.114105	4150570	769475	0.843604	0.156396	3708.699103	436.771962	1.000000	0.999992	1.000000	0.999984	0.999993	0.999959	pass_initial_mapping_screen
RIC_LP_200_Du-529	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	30497156	7371571	0.241713	6375183	996388	0.864834	0.135166	6010.023164	584.565128	1.000000	1.000000	1.000000	0.999992	0.999993	0.999971	pass_initial_mapping_screen
RIC_LP_201_Du-530	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RIC	25976698	3696813	0.142313	3133982	562831	0.847752	0.152248	2882.260863	329.453392	1.000000	0.999996	1.000000	0.999984	1.000000	0.999971	pass_initial_mapping_screen
RSV_LP_049_Du-85	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RSV	30025468	6421274	0.213861	5972475	448799	0.930107	0.069893	5094.096750	247.254673	1.000000	0.999548	1.000000	0.999293	0.999993	0.999252	pass_initial_mapping_screen
RSV_LP_050_Du-87	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RSV	35589320	8129017	0.228412	7068147	1060870	0.869496	0.130504	5959.915914	582.050801	1.000000	0.999396	1.000000	0.999334	1.000000	0.999301	pass_initial_mapping_screen
RSV_LP_051_Du-88	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	RSV	12248068	602574	0.049197	545926	56648	0.905990	0.094010	366.405785	23.338599	0.999973	0.999170	0.999940	0.997806	0.999887	0.969769	pass_initial_mapping_screen
