sample_id	batch	species	popcode	track_id	organelle	purpose	record	region_count	region_bp	total_depth	mean_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bed_path	depth_path
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	1580505054	10517.488414	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_full_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	622966395	12103.015134	51472	1.000000	51472	1.000000	51472	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_ir_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	298309520	11591.137706	25736	1.000000	25736	1.000000	25736	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	1282195534	10295.616872	124538	1.000000	124538	1.000000	124538	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_population_sites.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	206500170	848.541332	243359	1.000000	243357	0.999992	243356	0.999988	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	62291435	1386.410750	44930	1.000000	44930	1.000000	44930	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	3347329457	22274.841004	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_full_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	1376393516	26740.626282	51472	1.000000	51472	1.000000	51472	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_ir_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	656664174	25515.393767	25736	1.000000	25736	1.000000	25736	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	2690665283	21605.174991	124538	1.000000	124538	1.000000	124538	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_population_sites.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.depth.tsv
