organelle	model	seed	quartets	region_1_count	region_1_fraction	region_2_count	region_2_fraction	region_3_count	region_3_fraction	region_4_count	region_4_fraction	region_5_count	region_5_fraction	region_6_count	region_6_fraction	region_7_count	region_7_fraction	resolved_fraction	side_fraction	center_fraction	alignment_sequence_count	composition_failed_count	over_50pct_ambiguity_count	bootstrap_split_taxa	supported_incompatible_pair	decision
chloroplast	TVM+F+I+R4	271828	100000	32817	0.3282	32652	0.3265	32634	0.32630000000000003	204	0.002	191	0.0019	198	0.002	1304	0.013000000000000001	0.981	0.0059	0.013000000000000001	276	1	0	276	yes	TREE_LIKE_NO_NETWORK
mitochondria	TPM3u+F+I	314159	100000	27464	0.2746	27196	0.272	27349	0.2735	1154	0.0115	1184	0.0118	1191	0.011899999999999999	14462	0.1446	0.8201	0.0353	0.1446	271	269	271	229	yes	TREE_LIKE_NO_NETWORK
