sample_1	sample_2	mash_distance	p_value	shared_hashes	calibrated_candidate	interpretation
ABAB_MAD_LP_323_Du-594	OCO_LP_059_Du-106	0.0698223	0	6090/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_060_Du-107	0.0707612	0	5905/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_061_Du-108	0.0694651	0	6162/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_062_Du-109	0.0676453	0	6543/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_063_Du-110	0.0706068	0	5935/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_064_Du-111	0.0692098	0	6214/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_065_Du-112	0.0691805	0	6220/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_066_Du-113	0.0705453	0	5947/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	OCO_LP_067_Du-114	0.0699976	0	6055/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_249_Du-648	0.0668154	0	6725/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_250_Du-649	0.0686244	0	6335/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_251_Du-650	0.0752608	0	5097/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_252_Du-651	0.0697326	0	6108/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_253_Du-652	0.0668739	0	6712/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_254_Du-653	0.0741095	0	5292/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_255_Du-654	0.0667749	0	6734/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_257_Du-656	0.0694602	0	6163/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI1_LP_258_Du-657	0.0658043	0	6954/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_243_Du-631	0.0542001	0	10274/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_244_Du-632	0.0581915	0	8971/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_245_Du-633	0.05673	0	9426/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_246_Du-634	0.0534644	0	10536/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_247_Du-635	0.0656012	0	7001/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_248_Du-636	0.0639333	0	7400/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_337_Du-638	0.069015	0	6254/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_338_Du-639	0.0705453	0	5947/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_339_Du-640	0.0629914	0	7636/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUI2_LP_340_Du-641	0.0647111	0	7211/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_069_Du-155	0.069663	0	6122/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_070_Du-156	0.0693224	0	6191/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_071_Du-157	0.066757	0	6738/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_072_Du-158	0.0688842	0	6281/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_073_Du-159	0.0658174	0	6951/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_074_Du-160	0.0703667	0	5982/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_075_Du-161	0.065735	0	6970/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_076_Du-162	0.0637876	0	7436/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_077_Du-163	0.065774	0	6961/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	QUIN_LP_318_Du-164	0.0686676	0	6326/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_192_Du-521	0.0637876	0	7436/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_193_Du-522	0.0641656	0	7343/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_194_Du-523	0.0697575	0	6103/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_195_Du-524	0.0667929	0	6730/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_196_Du-525	0.0672638	0	6626/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_197_Du-526	0.048537	0	12492/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_198_Du-527	0.0662502	0	6852/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_199_Du-528	0.0720858	0	5654/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_200_Du-529	0.0657307	0	6971/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RIC_LP_201_Du-530	0.067929	0	6482/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_049_Du-85	0.0690636	0	6244/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_050_Du-87	0.0781837	0	4635/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_051_Du-88	0.0834306	0	3912/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_052_Du-89	0.0775259	0	4735/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_053_Du-90	0.0644536	0	7273/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_055_Du-92	0.0692343	0	6209/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_057_Du-94	0.064466	0	7270/100000	no	not_flagged_negative_screen_not_proof
