sample_id	evaluated_site_count	mixed_site_count	mixed_site_fraction	status
QUI1_LP_252_Du-651	2413	4	0.0016576875259013675	not_flagged
QUI1_LP_253_Du-652	2427	2	0.0008240626287597857	not_flagged
QUI1_LP_254_Du-653	2246	0	0.0	not_flagged
QUI1_LP_255_Du-654	2429	1	0.0004116920543433512	not_flagged
QUI1_LP_257_Du-656	2286	1	0.0004374453193350831	not_flagged
QUI1_LP_258_Du-657	2430	1	0.00041152263374485596	not_flagged
QUI2_LP_243_Du-631	2416	1	0.0004139072847682119	not_flagged
QUI2_LP_244_Du-632	2308	2	0.0008665511265164644	not_flagged
QUI2_LP_245_Du-633	2420	1	0.00041322314049586776	not_flagged
QUI2_LP_246_Du-634	2414	1	0.00041425020712510354	not_flagged
QUI2_LP_247_Du-635	2427	2	0.0008240626287597857	not_flagged
QUI2_LP_248_Du-636	2424	9	0.0037128712871287127	not_flagged
QUI2_LP_337_Du-638	2419	3	0.0012401818933443572	not_flagged
QUI2_LP_338_Du-639	2281	0	0.0	not_flagged
QUI2_LP_339_Du-640	2416	1	0.0004139072847682119	not_flagged
QUI2_LP_340_Du-641	2419	3	0.0012401818933443572	not_flagged
QUIN_LP_069_Du-155	2363	1	0.00042319085907744394	not_flagged
QUIN_LP_070_Du-156	2408	1	0.0004152823920265781	not_flagged
QUIN_LP_071_Du-157	2404	0	0.0	not_flagged
QUIN_LP_072_Du-158	2403	1	0.0004161464835622139	not_flagged
QUIN_LP_073_Du-159	2412	1	0.00041459369817578774	not_flagged
QUIN_LP_074_Du-160	2419	3	0.0012401818933443572	not_flagged
QUIN_LP_075_Du-161	2416	1	0.0004139072847682119	not_flagged
QUIN_LP_076_Du-162	2416	1	0.0004139072847682119	not_flagged
QUIN_LP_077_Du-163	2424	10	0.004125412541254125	suspected
QUIN_LP_318_Du-164	2399	0	0.0	not_flagged
RIC_LP_192_Du-521	2430	1	0.00041152263374485596	not_flagged
RIC_LP_193_Du-522	2430	1	0.00041152263374485596	not_flagged
RIC_LP_194_Du-523	2420	1	0.00041322314049586776	not_flagged
RIC_LP_195_Du-524	2421	1	0.0004130524576621231	not_flagged
RIC_LP_196_Du-525	2421	1	0.0004130524576621231	not_flagged
RIC_LP_197_Du-526	2376	492	0.20707070707070707	suspected
RIC_LP_198_Du-527	2419	1	0.00041339396444811904	not_flagged
RIC_LP_199_Du-528	2421	2	0.0008261049153242462	not_flagged
RIC_LP_200_Du-529	2418	1	0.00041356492969396195	not_flagged
RIC_LP_201_Du-530	2427	9	0.003708281829419036	not_flagged
RSV_LP_049_Du-85	2427	1	0.00041203131437989287	not_flagged
RSV_LP_050_Du-87	2427	2	0.0008240626287597857	not_flagged
RSV_LP_051_Du-88	2327	1	0.0004297378599054577	not_flagged
RSV_LP_052_Du-89	2427	2	0.0008240626287597857	not_flagged
RSV_LP_053_Du-90	2422	10	0.004128819157720892	suspected
RSV_LP_055_Du-92	2416	1	0.0004139072847682119	not_flagged
RSV_LP_057_Du-94	2415	0	0.0	not_flagged
RSV_LP_315_Du-95	2427	0	0.0	not_flagged
