organelle	track_id	sample_count	raw_records	filtered_records	raw_vcf_path	filtered_vcf_path	filtered_vcf_index_path	log_path
cpDNA	cpdna_population_sites	275	2475	2015	dudleya_organelle_alignment_pipeline/results/08_variant_calling/cpDNA.primary.raw.vcf.gz	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/cpDNA.primary.filtered.vcf.gz.tbi	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/cpDNA.primary.filtered.bcftools.log
mtDNA	mtdna_high_confidence_unique	275	190	146	dudleya_organelle_alignment_pipeline/results/08_variant_calling/mtDNA.primary.raw.vcf.gz	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/mtDNA.primary.filtered.vcf.gz.tbi	dudleya_organelle_alignment_pipeline/results/09_variant_filtering/mtDNA.primary.filtered.bcftools.log
