sample_id	batch	naming_profile	popcode	species	population_name	du_id	lp_id	sequencing_samples	lanes	r1_paths	r2_paths	r1_count	r2_count	pair_status	metadata_status	analysis_status	analysis_note
DU078LP011	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU078	LP011	S7	L005	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU078LP011_S7_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU078LP011_S7_L005_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU079LP010	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU079	LP010	S8	L005	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU079LP010_S8_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU079LP010_S8_L005_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-589	LP_222	S244	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_223_Du-590	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-590	LP_223	S253	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_322_Du-593	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-593	LP_322	S172	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_323_Du-594	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-594	LP_323	S183	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_324_Du-595	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-595	LP_324	S194	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_325_Du-596	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-596	LP_325	S212	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_326_Du-597	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-597	LP_326	S222	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABAB_MAD_LP_327_Du-598	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-598	LP_327	S233	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
