sample_id	batch	issue_type	details
ABAB_MAD_LP_225_Du-592	QB3.Berkeley.251217/QB3.Results.260109	missing_R1	R1 files: 0; R2 files: 1
QUI1_LP_256_Du-655	QB3.Berkeley.251217/QB3.Results.260109	missing_R2	R1 files: 1; R2 files: 0
