source_path	artifact_type	size_bytes	sha256	immutable
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU078LP011_S7_L005_R2_001.fastq.gz	file	3082433418	a88fd48d9c27141c5443ba766e688d1c6a1377efe001a3fdd16cb538cbcd5b82	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU079LP010_S8_L005_R1_001.fastq.gz	file	4340776388	2e55cdb112f7fffc775aedc37bb3589094a93dfe152e2c6f7dab34c449c4da1a	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU079LP010_S8_L005_R2_001.fastq.gz	file	4453934976	72d5623da10d9d1f4f53541f6814ef98cac2ec0e6785f1b50134bf3261f3c480	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/download_results5genomes.log	file	3893	91c78253bc72da0f9c58e57f09ae94e42ba60779ee332b6fc787a5745eaf6ef0	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/download_results5genomes_progress.json	file	275	70776e0eca9f1fa09b0fdf9d2a31891bace744f95d60922e8318aeff54d9a60d	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/laneBarcode_M006485.html	file	4512	2cbfd242a146ae6c7a375da3ab15f6c53400945311e44e1ded46129e3669d407	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/md5sum.txt	file	794	4f8050e27f8b3866f0b88d2a030b0f78c0c18ad3fe34b862d5eebeea568b51f8	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/Dudleya DNAx - Population Codes.csv	file	1961	2d7a9ef311d4a84d90afb18df9b0b8f90a1fd9021047c85afd05697bf06801fc	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R1_001.fastq.gz	file	200562	2610d6c8aa294af4100dee13fa05401bdabdc6fd02278984f02d37540f12b4bb	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R2_001.fastq.gz	file	199825	4eeccc973e8667d12ee159fc753a56de0f10f4a0500b1c0784adbbfe48aeb3d9	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R1_001.fastq.gz	file	39500121	7948966f7e781a84b54100f6f1a81658d143019fb5d79ef3d3003b36d6aef941	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R2_001.fastq.gz	file	39216558	6ecfc02ddf9cec181124fd4d401b81daf48eb988153d4c631f39328152ce66c8	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_225_Du-592_S272_L005_R2_001.fastq.gz	file	24507146	5420f85247501816ef49cc23feb3f5c71856bc4a3df985226149eb5584534c00	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R1_001.fastq.gz	file	513820994	e6e575ed015ea3079d0f79248676a9c5ffc1da8cfed307c42ef160183f81b524	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R2_001.fastq.gz	file	511825352	57b585e137accec756bbf6246e2ddea1b21ae8faf29ba2e1fd9e18e192c80e65	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R1_001.fastq.gz	file	89007768	90f4591c403aa9114f7cb2b02d90d358f6a1424b36c509f26f780df41eecd81e	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R2_001.fastq.gz	file	91510170	74faa1a4d01247ddf7324ccd438f64fab84d290ddf955908ca2811ae67a2d649	yes
