organelle	model	seed	quartets	region_1_count	region_1_fraction	region_2_count	region_2_fraction	region_3_count	region_3_fraction	region_4_count	region_4_fraction	region_5_count	region_5_fraction	region_6_count	region_6_fraction	region_7_count	region_7_fraction	resolved_fraction	side_fraction	center_fraction	alignment_sequence_count	composition_failed_count	over_50pct_ambiguity_count	bootstrap_split_taxa	supported_incompatible_pair	decision
chloroplast	TVM+F+I+R4	271828	100000	32786	0.32789999999999997	32658	0.32659999999999995	32670	0.3267	202	0.002	190	0.0019	196	0.002	1298	0.013000000000000001	0.9811	0.0059	0.013000000000000001	276	1	0	276	yes	TREE_LIKE_NO_NETWORK
mitochondria	TPM3u+F+I	314159	100000	27470	0.2747	27183	0.2718	27353	0.2735	1157	0.0116	1183	0.0118	1192	0.011899999999999999	14462	0.1446	0.8201	0.0353	0.1446	271	269	271	229	yes	TREE_LIKE_NO_NETWORK
