sample_id	batch	naming_profile	species	popcode	population_name	du_id	lp_id	exclusion_stage	downstream_cpDNA_use	downstream_mtDNA_use	exclusion_reason	evidence
ABAB_MAD_LP_225_Du-592	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-592	LP_225	step0_manifest	exclude	exclude	missing_R1	Exclude from the primary paired-end cpDNA/mtDNA analysis because the mate FASTQ is absent after manual verification. If this sample is ever used for an individual single-end alignment, report it separately as a sensitivity check and do not mix it into the primary paired-end dataset.;r1_count=0;r2_count=1
QUI1_LP_256_Du-655	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	Du-655	LP_256	step0_manifest	exclude	exclude	missing_R2	Exclude from the primary paired-end cpDNA/mtDNA analysis because the mate FASTQ is absent after manual verification. If this sample is ever used for an individual single-end alignment, report it separately as a sensitivity check and do not mix it into the primary paired-end dataset.;r1_count=1;r2_count=0
