sample_id	batch	naming_profile	species	popcode	population_name	du_id	lp_id	r1_paths	r2_paths	downstream_cpDNA_use	downstream_mtDNA_use	include_reason
ABAB_MAD_LP_323_Du-594	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-594	LP_323	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABAB_MAD_LP_324_Du-595	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-595	LP_324	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABAB_MAD_LP_325_Du-596	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-596	LP_325	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABAB_MAD_LP_326_Du-597	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-597	LP_326	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABAB_MAD_LP_327_Du-598	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-598	LP_327	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	Du-780	LP_311	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABBE_BERN_LP_312_Du-781	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	Du-781	LP_312	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABBE_BERN_LP_313_Du-782	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	Du-782	LP_313	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABBE_BERN_LP_314_Du-783	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	Du-783	LP_314	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_314_Du-783_S291_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_314_Du-783_S291_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	Du-775	LP_306	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
