sample_id	include_chloroplast	include_mitochondria	include_shared	rule	manual_override
CY_BAL_LP_228_Du-604	yes	no	no	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_BGL_LP_210_Du-577	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_BGL_LP_212_Du-579	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_BOU_LP_288_Du-737	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_BOU_LP_290_Du-739	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_BOU_LP_291_Du-740	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_BOU_LP_292_Du-741	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_BOU_LP_354_Du-742	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_CAS_LP_328_Du-610	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_CAS_LP_329_Du-611	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_CAS_LP_330_Du-607	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_CAS_LP_331_Du-608	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_CAS_LP_332_Du-609	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICN_LP_236_Du-614	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICN_LP_333_Du-612	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICN_LP_334_Du-613	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICN_LP_335_Du-615	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICN_LP_336_Du-616	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICS_LP_293_Du-757	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICS_LP_295_Du-759	yes	no	no	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICS_LP_297_Du-761	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICS_LP_355_Du-762	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HICS_LP_356_Du-763	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HUN_LP_264_Du-683	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HUN_LP_265_Du-684	yes	no	no	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HUN_LP_266_Du-685	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HUN_LP_267_Du-686	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_HUN_LP_268_Du-687	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_RED_LP_202_Du-561	no	no	no	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_SIE_LP_188_Du-445	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_SIE_LP_189_Du-446	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_SIE_LP_190_Du-447	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_SIE_LP_191_Du-448	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_WOO_LP_259_Du-664	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_WOO_LP_260_Du-665	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_WOO_LP_261_Du-667	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_WOO_LP_262_Du-668	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CY_WOO_LP_263_Du-669	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DAN_LP_043_Du-68	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DAN_LP_044_Du-69	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DAN_LP_045_Du-70	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DAN_LP_046_Du-71	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
