sample_id	popcode	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ABAB_MAD_LP_223_Du-590	ABAB_MAD	18.7685612826	8.28644050343	67.7102725479	-3.53729951986	-1.03800440757	-2.39356731775	-0.00440250258379	0.714023169259	-0.0155301114085	1.33855234517
ABAB_MAD_LP_322_Du-593	ABAB_MAD	18.9114244234	8.42451490794	69.0274483141	-3.66518857371	-0.759262822115	-1.30305717801	-0.811204454951	-0.185334876577	-0.153295600129	1.21096515623
ABAB_MAD_LP_323_Du-594	ABAB_MAD	18.8211934659	8.48376075546	68.6939629745	-3.54194554246	-0.977250133889	-2.44278798746	-0.141589108728	0.872534575574	0.152690206852	0.756911189413
ABAB_MAD_LP_324_Du-595	ABAB_MAD	18.866423254	8.45144805854	68.5400371545	-3.52589394072	-1.11924199277	-2.37907506709	-0.0736566762948	0.789962631579	0.162637817727	0.710158176952
ABAB_MAD_LP_325_Du-596	ABAB_MAD	18.1766899519	7.96531618398	64.0882559563	-3.24082016989	-0.836827620965	-1.79160347192	0.139200857419	0.626160338318	0.0862742491953	0.0955978802742
ABAB_MAD_LP_326_Du-597	ABAB_MAD	19.1920304386	8.3997113702	69.7992604182	-3.86916765188	-1.35089825909	-2.53474004493	-0.15267138207	0.773034877684	-0.0482281004947	1.52274832301
ABAB_MAD_LP_327_Du-598	ABAB_MAD	19.1994562832	8.4025946105	69.7897388436	-3.87818375164	-1.35267693486	-2.53090146149	-0.142073760775	0.773946743978	-0.0216610167071	1.52737485323
ABBE_BERN_LP_311_Du-780	ABBE_BERN	47.0888466358	-14.4483162305	-2.37244739885	48.4094674303	-1.47571720363	-1.76062539072	-1.09997081617	-0.450052072852	-0.272215621036	-0.196279225294
ABBE_BERN_LP_312_Du-781	ABBE_BERN	47.9646467452	-14.9622668281	-2.74629911122	55.9916656587	-1.83366704131	-2.55746213554	-1.41145878396	-0.731183862963	0.205431787194	-0.936539924082
ABBE_BERN_LP_313_Du-782	ABBE_BERN	47.8815695665	-15.0433041597	-2.77987134974	55.1060418581	-1.66571323511	-2.43054286212	-1.5248698366	-0.605553103255	0.176228897952	-0.528573685805
ABBE_BERN_LP_314_Du-783	ABBE_BERN	46.9596322094	-14.5713791152	-2.74980132618	52.7214986404	-1.71014005556	-2.28891274345	-1.3100063026	-0.554679943764	0.197920264608	-0.455192019812
ABMU_HOR_LP_306_Du-775	ABMU_HOR	18.9435831654	8.69217143703	70.7102669544	-3.76780836375	-0.776996941418	-0.652180395017	-1.4816403274	-0.373007559098	0.0220026419496	-1.46473887817
ABMU_HOR_LP_308_Du-777	ABMU_HOR	18.9516879716	8.68098105169	70.5909455084	-3.74796782752	-0.859796453055	-0.61512639705	-1.45075380154	-0.420208104945	0.0312574408868	-1.48538921944
